timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2020-01-02,0.0,1000000.0,0.0,1000000.0,0.0
2020-01-03,0.0,1000000.0,0.0,1001089.124223979,-0.0010891242239789063
2020-01-06,0.0,1000000.0,0.0,1002000.9024395884,-0.0009107862562348449
2020-01-07,0.0,1000000.0,0.0,1022662.9016940796,-0.020620739167185636
2020-01-08,0.0,1000000.0,0.0,1029764.1441478673,-0.006943874117291582
2020-01-09,0.0,1000000.0,0.0,1026534.9323632491,0.003135875144779291
2020-01-10,0.0,1000000.0,0.0,1022998.1099011096,0.003445399031864582
2020-01-13,0.0,1000000.0,0.0,1043173.3800245866,-0.01972170811285978
2020-01-14,0.0,1000000.0,0.0,1047446.3303337238,-0.0040961075032764915
2020-01-15,0.0,1000000.0,0.0,1037441.0717702198,0.009552048896210438
2020-01-16,0.0,1000000.0,0.0,1041856.8747562513,-0.004256437407569387
2020-01-17,0.0,1000000.0,0.0,1041326.0292665369,0.0005095186321428987
2020-01-21,0.0,1000000.0,0.0,1057406.102486258,-0.01544191998258898
2020-01-22,0.0,1000000.0,0.0,1065226.4859136173,-0.007395818322753526
2020-01-23,0.0,1000000.0,0.0,1066343.0301559835,-0.0010481754416841182
2020-01-24,0.0,1000000.0,0.0,1058147.2869040787,0.007685841253828078
2020-01-27,0.0,1000000.0,0.0,1046021.9324608711,0.011459042227177954
2020-01-28,0.0,1000000.0,0.0,1053958.2244191857,-0.007587118120595797
2020-01-29,0.0,1000000.0,0.0,1054539.5680377583,-0.0005515812724863345
2020-01-30,0.0,1000000.0,0.0,1072348.1305064126,-0.0168875241938925
2020-01-31,0.0,1000000.0,0.0,1065524.2991266227,0.006363447826003417
2020-02-03,0.0,1000000.0,0.0,1104482.336919429,-0.03656231756022754
2020-02-04,0.0,1000000.0,0.0,1138441.4598517474,-0.030746641930948115
2020-02-05,0.0,1000000.0,0.0,1112384.9075898826,0.022887915787306312
