timestamp,equity,cash,positions_value
2025-01-02,1000000.0,1000000.0,0.0
2025-01-03,1000000.0,1000000.0,0.0
2025-01-06,1000000.0,1000000.0,0.0
2025-01-07,1000000.0,1000000.0,0.0
2025-01-08,1000000.0,1000000.0,0.0
2025-01-10,1000000.0,1000000.0,0.0
2025-01-13,1000000.0,1000000.0,0.0
2025-01-14,1000000.0,1000000.0,0.0
2025-01-15,1000000.0,1000000.0,0.0
2025-01-16,1000000.0,1000000.0,0.0
2025-01-17,1000000.0,1000000.0,0.0
2025-01-21,1000000.0,1000000.0,0.0
2025-01-22,1000000.0,1000000.0,0.0
2025-01-23,1000000.0,1000000.0,0.0
2025-01-24,1000000.0,1000000.0,0.0
2025-01-27,1000000.0,1000000.0,0.0
2025-01-28,1000000.0,1000000.0,0.0
2025-01-29,1000000.0,1000000.0,0.0
2025-01-30,1000000.0,1000000.0,0.0
2025-01-31,1000000.0,1000000.0,0.0
2025-02-03,1000000.0,1000000.0,0.0
2025-02-04,1000000.0,1000000.0,0.0
2025-02-05,1000000.0,1000000.0,0.0
2025-02-06,1000000.0,1000000.0,0.0
2025-02-07,1000000.0,1000000.0,0.0
2025-02-10,1000000.0,1000000.0,0.0
2025-02-11,1000000.0,1000000.0,0.0
2025-02-12,1000000.0,1000000.0,0.0
2025-02-13,1000000.0,1000000.0,0.0
2025-02-14,1000000.0,1000000.0,0.0
2025-02-18,1000000.0,1000000.0,0.0
2025-02-19,1000000.0,1000000.0,0.0
2025-02-20,1000000.0,1000000.0,0.0
2025-02-21,1000000.0,1000000.0,0.0
2025-02-24,999900.1695,900069.7095,99830.4601
2025-02-25,979132.1953,979132.1953,0.0
2025-02-26,979132.1953,979132.1953,0.0
2025-02-27,979132.1953,979132.1953,0.0
2025-02-28,979132.1953,979132.1953,0.0
2025-03-03,979132.1953,979132.1953,0.0
2025-03-04,979132.1953,979132.1953,0.0
2025-03-05,979132.1953,979132.1953,0.0
2025-03-06,979132.1953,979132.1953,0.0
2025-03-07,979132.1953,979132.1953,0.0
2025-03-10,979132.1953,979132.1953,0.0
2025-03-11,979132.1953,979132.1953,0.0
2025-03-12,979132.1953,979132.1953,0.0
2025-03-13,979132.1953,979132.1953,0.0
2025-03-14,979132.1953,979132.1953,0.0
2025-03-17,979132.1953,979132.1953,0.0
2025-03-18,979132.1953,979132.1953,0.0
2025-03-19,979132.1953,979132.1953,0.0
2025-03-20,979132.1953,979132.1953,0.0
2025-03-21,979132.1953,979132.1953,0.0
2025-03-24,979132.1953,979132.1953,0.0
2025-03-25,979132.1953,979132.1953,0.0
2025-03-26,979132.1953,979132.1953,0.0
2025-03-27,979132.1953,979132.1953,0.0
2025-03-28,979132.1953,979132.1953,0.0
2025-03-31,979132.1953,979132.1953,0.0
2025-04-01,979132.1953,979132.1953,0.0
2025-04-02,979132.1953,979132.1953,0.0
2025-04-03,979132.1953,979132.1953,0.0
2025-04-04,979132.1953,979132.1953,0.0
2025-04-07,979132.1953,979132.1953,0.0
2025-04-08,979132.1953,979132.1953,0.0
2025-04-09,979132.1953,979132.1953,0.0
2025-04-10,979132.1953,979132.1953,0.0
2025-04-11,979132.1953,979132.1953,0.0
2025-04-14,979132.1953,979132.1953,0.0
2025-04-15,979132.1953,979132.1953,0.0
2025-04-16,979132.1953,979132.1953,0.0
2025-04-17,979132.1953,979132.1953,0.0
2025-04-21,979132.1953,979132.1953,0.0
2025-04-22,979132.1953,979132.1953,0.0
2025-04-23,979132.1953,979132.1953,0.0
2025-04-24,979132.1953,979132.1953,0.0
2025-04-25,979132.1953,979132.1953,0.0
2025-04-28,979132.1953,979132.1953,0.0
2025-04-29,979132.1953,979132.1953,0.0
2025-04-30,979132.1953,979132.1953,0.0
2025-05-01,979132.1953,979132.1953,0.0
2025-05-02,979132.1953,979132.1953,0.0
2025-05-05,979132.1953,979132.1953,0.0
2025-05-06,978979.9189,826703.4646,152276.4543
2025-05-07,967571.0533,967571.0533,0.0
2025-05-08,967571.0533,967571.0533,0.0
