code,entry_ts,entry_px,dist_poc,dist_val,dist_vwap,ha_green,above_vwap,vol_expand,macd_hist,block_red_flag_on,htf_green,atr_pct,conf,spy_htf_green,exit_ts,exit_px,pnl,hold_bars,y,y_tb,year,sym_TSLA,sym_ARM,sym_MU,sym_SPY,sym_IONQ,sym_APLD
TSLA.US,2024-08-20 12:00:00,222.41000366210938,1.7071916299303167,5.504621941906272,5.563335338757486,1.0,1.0,1.0,21.79443283050105,0.0,1.0,0.018270123128712994,1.0,1.0,2024-08-21 16:00:00,223.22000122070312,0.001641911538404985,6,1,1,2024,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2024-09-09 10:00:00,219.1699981689453,1.294548208641531,2.2202235145066314,0.7094465358919225,0.0,1.0,1.0,-20.735092784368312,0.0,1.0,0.02874602876124735,1.0,0.0,2024-09-09 12:00:00,217.5500030517578,-0.009391500345493185,1,0,0,2024,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2024-09-17 12:00:00,230.125,0.4092686651086132,2.4865366365929544,2.16550921832987,1.0,1.0,0.0,-0.0612045598346711,0.0,1.0,0.019086205996999953,1.0,1.0,2024-09-19 12:00:00,242.5904998779297,0.05216838621588127,8,1,1,2024,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2024-09-26 10:00:00,256.19000244140625,0.600812628692362,5.735485180060663,5.856345625786448,1.0,1.0,1.0,14.140187658562581,0.0,1.0,0.01372121542726287,1.0,1.0,2024-09-27 16:00:00,260.4649963378906,0.014686810007201958,7,1,0,2024,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2024-09-30 10:00:00,259.6300048828125,1.4789864964663009,4.4429950122948405,4.93125761596057,0.0,1.0,1.0,-11.472204818260337,0.0,1.0,0.015180860913129661,1.0,1.0,2024-09-30 16:00:00,261.6050109863281,0.005607002528105644,3,1,1,2024,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-01-14 12:00:00,405.05120849609375,1.0441195827582976,1.9003519481383284,-1.4908833845013187,1.0,0.0,1.0,24.71121046175493,0.0,1.0,0.02770445058675271,1.0,0.0,2025-01-15 14:00:00,423.7550048828125,0.04417637472596048,5,1,1,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-01-22 10:00:00,423.42999267578125,1.0118074232914658,2.204316394908347,1.8391823486462862,0.0,1.0,1.0,-4.316906425398827,0.0,1.0,0.025997723603660264,1.0,1.0,2025-01-22 12:00:00,420.20001220703125,-0.009628133397775572,1,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-02-18 12:00:00,354.4200134277344,0.23354615948829682,3.638959637408099,-1.8967460166002033,1.0,0.0,0.0,29.46538439522213,0.0,1.0,0.0192943689743663,1.0,1.0,2025-02-18 16:00:00,354.04998779296875,-0.0030440314337414325,2,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-02-19 14:00:00,362.55499267578125,1.438924468250402,3.8982993111697684,-0.5540529885143463,1.0,0.0,0.0,36.537646709312796,0.0,1.0,0.01865486092417436,1.0,1.0,2025-02-20 16:00:00,354.3800048828125,-0.024548269802146416,5,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-03-14 10:00:00,241.0399932861328,0.6350279550651261,2.531530774290729,-2.5326211038258344,1.0,0.0,0.0,21.720641978343977,0.0,1.0,0.03770892894425063,1.0,0.0,2025-03-14 14:00:00,249.10000610351562,0.031438487561750605,2,1,1,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-03-21 10:00:00,238.92990112304688,0.6353954634448324,1.6111670999446357,-1.7181941115143302,1.0,0.0,1.0,20.731207166006243,0.0,1.0,0.02789384487288095,1.0,1.0,2025-03-21 16:00:00,249.11500549316406,0.04062800228118757,3,1,1,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-03-27 10:00:00,282.38079833984375,1.08254752045469,3.5480545952255893,4.524722867644757,0.0,1.0,1.0,2.933452223353143,0.0,1.0,0.028405152620480247,1.0,1.0,2025-03-31 12:00:00,254.83999633789062,-0.09953071796619795,9,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-04-02 14:00:00,278.6400146484375,0.2787497660340944,1.5135668149160617,1.8811218517701693,1.0,1.0,1.0,7.137085248107379,0.0,1.0,0.04227044008884905,1.0,0.0,2025-04-02 16:00:00,282.6700134277344,0.012463101376094745,1,1,1,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-04-15 12:00:00,255.22000122070312,0.8608798348783934,2.4844469682639048,-0.5434340375419788,1.0,0.0,0.0,10.752754105753029,0.0,1.0,0.03792388872890329,1.0,1.0,2025-04-15 16:00:00,254.1199951171875,-0.006310030946847232,2,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-04-24 10:00:00,256.389892578125,0.6233060473768455,2.2795337440395613,0.4229617503851022,1.0,1.0,1.0,38.86289040710051,0.0,1.0,0.03098624172185687,1.0,1.0,2025-04-24 14:00:00,257.1680908203125,0.001035214198041647,2,1,1,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-05-01 12:00:00,284.130615234375,0.25850773010128386,3.5145577654495828,3.547606835765723,0.0,1.0,1.0,-11.892374734454307,0.0,1.0,0.029413593069767645,1.0,1.0,2025-05-01 14:00:00,283.1400146484375,-0.00548642677988209,1,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-05-02 12:00:00,289.0799865722656,0.9690675465500901,3.6427652530397983,4.196659611654435,0.0,1.0,1.0,-11.074069761028284,0.0,1.0,0.02627489325871424,1.0,1.0,2025-05-05 16:00:00,280.20001220703125,-0.03271805305696773,6,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-05-16 12:00:00,347.6600036621094,0.538997959988335,6.6838784125832085,6.194540325343491,0.0,1.0,0.0,-2.946916999051865,0.0,1.0,0.021885106642287874,1.0,1.0,2025-05-16 14:00:00,347.3299865722656,-0.002949252391323374,1,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-05-20 10:00:00,345.5400085449219,0.42270778733469505,3.6830518496233364,4.9057379565591095,0.0,1.0,1.0,-36.83554022092514,0.0,1.0,0.022602761624213107,1.0,1.0,2025-05-20 12:00:00,349.2900085449219,0.008852578304293425,1,1,1,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-06-11 12:00:00,328.95001220703125,3.4785098814499524,5.502049479700691,0.09277578448231544,1.0,1.0,0.0,54.013050517148315,0.0,1.0,0.02716439643416841,1.0,1.0,2025-06-13 16:00:00,325.3500061035156,-0.012943930597120288,10,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-06-20 14:00:00,323.3550109863281,0.0387056605727031,0.8175180185170671,-0.37305402895178974,0.0,0.0,0.0,-1.985134136847174,0.0,1.0,0.021693997026927692,1.0,0.0,2025-06-20 16:00:00,322.1700134277344,-0.005664695205987889,1,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-07-16 10:00:00,318.17999267578125,1.1677299821182008,4.614760752847667,-1.0066908434730981,0.0,0.0,1.0,16.61349811092911,0.0,1.0,0.015421783599975845,1.0,0.0,2025-07-16 14:00:00,319.4800109863281,0.002085795274599624,2,1,1,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-07-17 10:00:00,321.8949890136719,2.0390482836494233,4.707352420093194,-0.167920960610096,1.0,0.0,1.0,21.52341636755782,0.0,1.0,0.014312266622541899,1.0,0.0,2025-07-18 16:00:00,329.54998779296875,0.021781043633990027,7,1,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-07-23 14:00:00,332.8192138671875,0.8693916543609997,3.048493777083505,5.143102396450688,0.0,1.0,1.0,-0.7106227201142019,0.0,1.0,0.014408883044601108,1.0,0.0,2025-07-24 16:00:00,305.07000732421875,-0.08537621563532127,5,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-08-07 10:00:00,319.29998779296875,2.2806394599510083,3.492432261571976,-0.09263660804002614,1.0,0.0,1.0,34.69564868693082,0.0,1.0,0.014721720237835653,1.0,0.0,2025-08-07 16:00:00,322.2900085449219,0.007364299612475424,3,1,1,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-09-08 10:00:00,352.3299865722656,0.5062715695054345,2.7661448791465086,2.493115937135098,1.0,1.0,1.0,37.94340069169773,0.0,1.0,0.017487849005725958,1.0,1.0,2025-09-09 14:00:00,346.5849914550781,-0.01830572286247667,6,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-09-10 10:00:00,349.1600036621094,0.4133707237058584,3.1491234956689818,2.1509107209571376,1.0,1.0,0.0,6.225019235157383,0.0,1.0,0.013064276374644478,1.0,1.0,2025-09-11 16:00:00,368.7950134277344,0.05423499129249154,7,1,1,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-09-18 12:00:00,422.2121887207031,0.6423267338504846,6.056022552542868,4.01312762953554,0.0,1.0,0.0,-24.974271305175535,0.0,1.0,0.023796610667457193,1.0,1.0,2025-09-19 14:00:00,425.69989013671875,0.00626054175883284,5,1,1,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-09-22 12:00:00,438.1496887207031,1.6416425178274254,4.036854981947358,5.112598413916161,0.0,1.0,0.0,-9.662937272635816,0.0,1.0,0.020492694413083653,1.0,0.0,2025-09-23 12:00:00,434.1300048828125,-0.011174225022565152,4,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
TSLA.US,2025-10-22 16:00:00,438.8399963378906,1.1069737208950161,1.948221199219327,-0.9406069914331858,0.0,0.0,0.0,-12.827363370403013,0.0,1.0,0.015573186044870882,1.0,1.0,2025-10-23 12:00:00,436.3500061035156,-0.007674027561648698,2,0,0,2025,1.0,0.0,0.0,0.0,0.0,0.0
