code,entry_ts,pnl,return_pct,win,qqq_trend,mag7_ge4,mag7_ge5,strong,qqq_and_mag7,full,drop_APLD.US,drop_IONQ.US,drop_MU.US,above_sma20,vol_expand,local_macd_green,ret5_pos,tech,tech_vol,regime_tech,strong_tech
APLD.US,2025-02-20,94981.5662,8.44,1.0,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
APLD.US,2025-05-13,148639.2821,11.26,1.0,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False
APLD.US,2025-09-17,0.0004,0.2,1.0,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True
APLD.US,2025-10-07,25072.5765,3.03,1.0,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True
APLD.US,2025-10-29,-8053.9858,-1.0,0.0,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,False,False
APLD.US,2026-01-08,38014.8344,19.66,1.0,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,False
APLD.US,2026-04-09,11929.6045,0.81,1.0,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
APLD.US,2026-04-14,758.4907,0.32,1.0,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
APLD.US,2026-04-20,45141.4306,2.41,1.0,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True
IONQ.US,2024-09-20,-1744.0675,-0.91,0.0,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False
IONQ.US,2025-04-28,17070.5935,2.83,1.0,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
IONQ.US,2025-05-16,31826.7226,2.17,1.0,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False
IONQ.US,2025-09-22,17721.0028,1.18,1.0,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
IONQ.US,2026-05-08,143517.3773,16.47,1.0,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False
IONQ.US,2026-06-01,23133.5251,1.02,1.0,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2024-09-16,5956.9229,1.1,1.0,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False
MU.US,2024-09-18,16067.6188,1.97,1.0,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False
MU.US,2024-09-20,38169.0991,4.6,1.0,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False
MU.US,2024-09-25,151681.3779,14.33,1.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
MU.US,2024-10-15,59808.1731,4.94,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2024-11-08,-53070.2338,-4.18,0.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2024-12-04,7325.4475,0.78,1.0,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False
MU.US,2024-12-05,17902.7612,1.8,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-01-22,-7387.099,-0.59,0.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-01-23,15576.3178,1.26,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-01-23,-36130.5271,-2.89,0.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-02-07,27566.3148,2.85,1.0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
MU.US,2025-04-28,-36293.388,-2.72,0.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-04-28,431.3355,0.06,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True
MU.US,2025-05-01,-7483.2092,-1.08,0.0,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False
MU.US,2025-05-02,11248.2872,1.63,1.0,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False
