ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
QQQ260702P00555000,QQQ,555.0,2026-07-02,put,0.02,152,153.0,726.39,1,1.7022,-0.0011,5.6e-05,-0.1172,0.0014,-0.0,2026-07-01T19:54:34.193715Z,2026-07-01T19:54:52.955531Z
QQQ260702C00560000,QQQ,560.0,2026-07-02,call,164.75,2,33401.0,725.27,1,2.1525,0.9917,0.000274,-0.9809,0.0086,0.0152,2026-07-01T20:00:41.681498Z,2026-07-01T20:01:04.512248Z
QQQ260702P00560000,QQQ,560.0,2026-07-02,put,0.01,54,54.0,725.94,1,1.5554,-0.0006,3.7e-05,-0.0639,0.0008,-0.0,2026-07-01T19:56:54.019690Z,2026-07-01T19:56:55.552275Z
QQQ260702P00565000,QQQ,565.0,2026-07-02,put,0.01,521,542.0,727.32,1,1.5161,-0.0006,3.8e-05,-0.0638,0.0008,-0.0,2026-07-01T19:39:14.472838Z,2026-07-01T19:39:32.466522Z
QQQ260702C00570000,QQQ,570.0,2026-07-02,call,159.19,9,143271.0,728.97,1,1.9345,0.9934,0.000249,-0.7357,0.007,0.0155,2026-07-01T14:44:16.010742Z,2026-07-01T14:44:43.636074Z
QQQ260702P00570000,QQQ,570.0,2026-07-02,put,0.02,1259,1262.0,725.27,1,1.5367,-0.0012,6.8e-05,-0.1156,0.0015,-0.0,2026-07-01T20:05:57.129151Z,2026-07-01T20:06:06.728174Z
QQQ260702C00575000,QQQ,575.0,2026-07-02,call,164.66,10,164660.0,,14,,,,,,,2026-06-18T19:07:33.758671Z,2026-06-18T19:07:49.884536Z
QQQ260702P00575000,QQQ,575.0,2026-07-02,put,0.01,1481,1481.0,727.78,1,1.4213,-0.0007,4.3e-05,-0.0633,0.0009,-0.0,2026-07-01T19:20:00.991418Z,2026-07-01T19:20:06.830371Z
QQQ260702C00580000,QQQ,580.0,2026-07-02,call,146.27,36,526816.0,725.93,1,1.9125,0.9891,0.000396,-1.1047,0.0109,0.0157,2026-07-01T18:58:09.134620Z,2026-07-01T18:58:36.263095Z
QQQ260702P00580000,QQQ,580.0,2026-07-02,put,0.01,1434,1455.0,725.27,1,1.3536,-0.0007,4.8e-05,-0.0629,0.0009,-0.0,2026-07-01T20:07:33.869712Z,2026-07-01T20:07:36.968972Z
QQQ260702P00585000,QQQ,585.0,2026-07-02,put,0.01,549,563.0,725.27,1,1.3053,-0.0007,5.1e-05,-0.0626,0.001,-0.0,2026-07-01T20:07:54.754500Z,2026-07-01T20:08:07.032675Z
QQQ260702C00590000,QQQ,590.0,2026-07-02,call,148.43,1,14843.0,737.49,10,0.6173,0.9875,0.000426,-0.1804,0.0392,0.1589,2026-06-22T18:07:14.430487Z,2026-06-22T18:07:30.328304Z
QQQ260702P00590000,QQQ,590.0,2026-07-02,put,0.01,1049,1175.0,725.27,1,1.2572,-0.0008,5.5e-05,-0.0623,0.001,-0.0,2026-07-01T20:13:02.172150Z,2026-07-01T20:13:09.989974Z
QQQ260702C00595000,QQQ,595.0,2026-07-02,call,133.08,10,133080.0,728.06,1,0.74,0.9676,0.000986,-0.437,0.0715,0.1094,2026-07-01T19:22:38.670201Z,2026-07-01T19:22:40.836183Z
QQQ260702P00595000,QQQ,595.0,2026-07-02,put,0.01,40,52.0,727.84,1,1.2292,-0.0008,5.7e-05,-0.0621,0.001,-0.0,2026-07-01T19:06:05.452235Z,2026-07-01T19:06:19.919828Z
QQQ260702C00600000,QQQ,600.0,2026-07-02,call,130.67,2,26046.0,728.44,1,2.3943,0.9464,0.001193,-5.0294,0.0415,0.0153,2026-07-01T16:42:58.139009Z,2026-07-01T16:43:09.983306Z
QQQ260702P00600000,QQQ,600.0,2026-07-02,put,0.01,424,591.0,725.27,1,1.1621,-0.0008,6.3e-05,-0.0617,0.0011,-0.0,2026-07-01T20:07:07.112839Z,2026-07-01T20:07:36.968972Z
QQQ260702C00605000,QQQ,605.0,2026-07-02,call,123.85,2,24754.0,728.3,1,1.7537,0.9807,0.000704,-1.6334,0.0179,0.0162,2026-07-01T16:52:57.093032Z,2026-07-01T16:53:21.626851Z
QQQ260702P00605000,QQQ,605.0,2026-07-02,put,0.02,1125,2932.0,725.27,1,1.1829,-0.0015,0.000111,-0.1116,0.0019,-0.0,2026-07-01T20:13:44.468240Z,2026-07-01T20:14:13.825588Z
QQQ260702C00610000,QQQ,610.0,2026-07-02,call,118.63,2,23942.0,728.49,1,1.3255,0.9953,0.000272,-0.4108,0.0052,0.0166,2026-07-01T17:01:41.429580Z,2026-07-01T17:02:05.077970Z
QQQ260702P00610000,QQQ,610.0,2026-07-02,put,0.03,671,1341.0,725.27,1,1.1769,-0.0022,0.000157,-0.1568,0.0027,-0.0,2026-07-01T20:06:56.386391Z,2026-07-01T20:07:06.878903Z
QQQ260702C00615000,QQQ,615.0,2026-07-02,call,115.86,1,11586.0,730.8,1,0.7637,0.9398,0.00171,-0.7524,0.1089,0.0937,2026-07-01T14:20:38.036295Z,2026-07-01T14:20:57.928648Z
QQQ260702P00615000,QQQ,615.0,2026-07-02,put,0.02,106,201.0,726.97,1,1.0983,-0.0016,0.000127,-0.1104,0.002,-0.0,2026-07-01T19:41:32.237101Z,2026-07-01T19:41:34.943740Z
QQQ260702C00620000,QQQ,620.0,2026-07-02,call,110.84,1,11084.0,730.8,1,1.2103,0.9761,0.000852,-0.9913,0.0307,0.033,2026-07-01T14:20:41.059994Z,2026-07-01T14:20:57.928648Z
QQQ260702P00620000,QQQ,620.0,2026-07-02,put,0.02,1248,2532.0,725.35,1,1.0362,-0.0017,0.000142,-0.1095,0.0021,-0.0,2026-07-01T19:58:16.189288Z,2026-07-01T19:58:28.909649Z
