source,code,entry_ts,pnl,return_pct,win,vol_z_20,vol_z_ge1,vol_z_ge2,vol_z_ge3
v15,APLD.US,2025-02-20,82393.0189,8.44,1.0,0.3118026968079206,False,False,False
v15,APLD.US,2025-05-13,130277.8809,11.26,1.0,0.002971537324299303,False,False,False
v15,APLD.US,2025-09-17,0.0004,0.2,1.0,-0.6650713489828222,False,False,False
v15,APLD.US,2025-10-07,22045.0695,3.03,1.0,-0.23324835288797208,False,False,False
v15,APLD.US,2025-10-29,-7081.4699,-1.0,0.0,-0.2647502843727897,False,False,False
v15,APLD.US,2026-01-08,35153.3904,19.66,1.0,1.7095954657674988,True,False,False
v15,APLD.US,2026-04-09,11150.3096,0.81,1.0,3.2058497049729318,True,True,True
v15,APLD.US,2026-04-14,708.9358,0.32,1.0,0.1549735652350257,False,False,False
v15,APLD.US,2026-04-20,42192.5913,2.41,1.0,-0.36026973101448306,False,False,False
v15,ARM.US,2024-09-17,-1810.1022,-0.39,0.0,1.4108473729725373,True,False,False
v15,ARM.US,2024-09-24,28867.4259,5.37,1.0,-1.122914037173269,False,False,False
v15,ARM.US,2024-09-27,-77731.8041,-6.14,0.0,0.04722164276713134,False,False,False
v15,ARM.US,2024-10-16,2670.8712,0.23,1.0,2.1711691551115333,True,True,False
v15,ARM.US,2024-12-17,-34662.1631,-2.97,0.0,1.2655206484263886,True,False,False
v15,ARM.US,2025-02-06,-61825.5705,-7.05,0.0,1.0114168315017358,True,False,False
v15,ARM.US,2025-05-01,11393.1959,1.86,1.0,-0.6094724675142952,False,False,False
v15,ARM.US,2025-09-15,-5996.1785,-0.46,0.0,-0.17239668991032508,False,False,False
v15,ARM.US,2026-02-26,19059.9967,1.21,1.0,-0.5329979643033866,False,False,False
v15,IONQ.US,2024-09-20,-0.0007,-0.91,0.0,0.8216602958045349,False,False,False
v15,IONQ.US,2025-04-28,11137.4203,2.83,1.0,1.2332247879851392,True,False,False
v15,IONQ.US,2025-05-16,28289.2782,2.17,1.0,-0.5529589946293647,False,False,False
v15,IONQ.US,2025-09-22,15515.8913,1.18,1.0,1.5856406146958957,True,False,False
v15,IONQ.US,2026-05-08,135679.3429,16.47,1.0,0.18821518172136772,False,False,False
v15,IONQ.US,2026-06-01,21936.8853,1.02,1.0,-0.506433062195733,False,False,False
v15,MU.US,2024-09-16,5956.9229,1.1,1.0,0.17523616457494662,False,False,False
v15,MU.US,2024-09-18,0.0172,1.97,1.0,-0.6284981886411535,False,False,False
v15,MU.US,2024-09-20,21041.6848,4.6,1.0,0.7575347394031974,False,False,False
v15,MU.US,2024-09-25,158180.8433,14.33,1.0,0.23895483770199993,False,False,False
v15,MU.US,2024-10-15,58706.6158,4.94,1.0,-0.7452346554064099,False,False,False
v15,MU.US,2024-11-08,-51829.1973,-4.18,0.0,-0.7057939696067614,False,False,False
v15,MU.US,2024-12-04,6900.4992,0.78,1.0,1.7882301305925703,True,False,False
v15,MU.US,2024-12-06,17741.9389,1.86,1.0,-0.851334398457637,False,False,False
v15,MU.US,2025-01-22,-3873.6919,-0.59,0.0,-0.26390694471452125,False,False,False
v15,MU.US,2025-01-23,14518.6407,1.26,1.0,-0.4291063770297196,False,False,False
v15,MU.US,2025-01-23,-33677.1605,-2.89,0.0,-0.4291063770297196,False,False,False
v15,MU.US,2025-02-07,7263.3961,2.85,1.0,-0.8108008915975757,False,False,False
v15,MU.US,2025-04-28,-31515.4127,-2.72,0.0,-0.7452347771607654,False,False,False
v15,MU.US,2025-04-28,281.4176,0.06,1.0,-0.7452347771607654,False,False,False
v15,MU.US,2025-05-01,-1386.4534,-1.08,0.0,-0.7453779515692118,False,False,False
v15,MU.US,2025-05-02,2062.5258,1.63,1.0,-1.0676201639954725,False,False,False
v15,MU.US,2025-05-05,497.7304,0.39,1.0,-0.7325659386333189,False,False,False
v15,MU.US,2025-05-05,-897.2808,-0.69,0.0,-0.7325659386333189,False,False,False
v15,MU.US,2025-08-13,-2936.4128,-0.22,0.0,0.5467192971019699,False,False,False
v15,MU.US,2025-08-15,-3197.183,-0.24,0.0,-1.3070933451694389,False,False,False
v15,MU.US,2025-09-17,19213.1907,1.48,1.0,-0.3233615144208228,False,False,False
v15,MU.US,2025-10-03,20343.5155,1.52,1.0,-0.4168020321397284,False,False,False
v15,MU.US,2025-10-07,25164.6105,3.97,1.0,0.5121496541688436,False,False,False
v15,MU.US,2025-10-27,-12194.8355,-0.87,0.0,0.0768749289397894,False,False,False
v15,MU.US,2025-10-28,18422.1693,1.32,1.0,-0.16067111319610536,False,False,False
v15,MU.US,2025-10-29,-2136.8673,-0.3,0.0,-1.2503819416796886,False,False,False
v15,MU.US,2025-10-30,-764.8485,-0.11,0.0,-0.10299982805666351,False,False,False
v15,MU.US,2025-12-01,7822.0709,0.96,1.0,-1.680668006402971,False,False,False
v15,MU.US,2026-01-08,48386.1554,3.7,1.0,0.13270550154744015,False,False,False
v15,MU.US,2026-03-11,6258.1822,0.51,1.0,0.10823960026150209,False,False,False
v15,MU.US,2026-03-12,54072.8485,4.11,1.0,-0.4179271120244183,False,False,False
v15,MU.US,2026-04-13,96073.8215,6.69,1.0,-1.3004557533147425,False,False,False
v15,MU.US,2026-04-17,-7400.495,-0.48,0.0,-1.3597266437847515,False,False,False
v15,MU.US,2026-05-07,143052.4092,14.5,1.0,1.680647000410279,True,False,False
v15,MU.US,2026-05-12,39799.3225,9.61,1.0,2.2289861144573977,True,True,False
v15,MU.US,2026-06-03,-2866.8079,-0.18,0.0,-0.7435084946369076,False,False,False
v15,MU.US,2026-06-04,-3644.6769,-0.21,0.0,-1.2217079850167967,False,False,False
v15,SPY.US,2024-09-26,3589.727,0.28,1.0,-0.9523431824028447,False,False,False
v15,SPY.US,2024-10-18,-8978.1949,-0.72,0.0,-0.9507683981015211,False,False,False
v15,SPY.US,2025-08-27,-936.5747,-0.07,0.0,-0.9134803941572457,False,False,False
v15,SPY.US,2025-09-05,4048.6636,0.31,1.0,0.03327744152664456,False,False,False
v15,SPY.US,2025-09-09,-1288.5517,-0.1,0.0,-0.17122269173016816,False,False,False
v15,SPY.US,2025-10-01,5622.8442,0.42,1.0,0.8360119745364514,False,False,False
v15,SPY.US,2026-01-06,813.5646,0.05,1.0,-0.27619231592307536,False,False,False
v15,TSLA.US,2024-09-18,49748.2725,9.11,1.0,-0.46444384072466727,False,False,False
v15,TSLA.US,2024-11-11,-42134.8195,-4.78,0.0,2.175443904448588,True,True,False
v15,TSLA.US,2024-12-05,20545.1887,1.78,1.0,-1.0675933255530883,False,False,False
v15,TSLA.US,2025-01-22,-2061.0495,-0.41,0.0,0.20248650712227945,False,False,False
v15,TSLA.US,2025-04-24,1186.7168,0.15,1.0,0.159474643509647,False,False,False
v15,TSLA.US,2025-04-28,4639.2049,1.65,1.0,0.6330253550895629,False,False,False
v15,TSLA.US,2025-05-01,-439.6258,-0.35,0.0,-0.27622881082967166,False,False,False
v15,TSLA.US,2025-05-15,18179.9105,1.77,1.0,0.8620301117014029,False,False,False
