ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
SPY260702C00590000,SPY,590.0,2026-07-02,call,150.32,4,60050.0,740.11,20,,,,,,,2026-06-12T14:37:09.715473Z,2026-06-12T14:37:36.602146Z
SPY260702P00590000,SPY,590.0,2026-07-02,put,0.01,26,27.0,740.74,3,0.7937,-0.0007,4.5e-05,-0.021,0.0016,-0.0,2026-06-29T19:11:49.585072Z,2026-06-29T19:12:14.434763Z
SPY260702P00595000,SPY,595.0,2026-07-02,put,0.01,1,1.0,743.08,1,1.3438,-0.0007,4.6e-05,-0.063,0.0009,-0.0,2026-07-01T13:39:51.006466Z,2026-07-01T13:39:59.590562Z
SPY260702C00600000,SPY,600.0,2026-07-02,call,143.43,1,14343.0,744.03,2,,,,,,,2026-06-30T14:26:31.890556Z,2026-06-30T14:26:32.918173Z
SPY260702P00600000,SPY,600.0,2026-07-02,put,0.01,1,1.0,746.55,2,0.9354,-0.0007,4.7e-05,-0.0314,0.0013,-0.0,2026-06-30T18:02:36.086141Z,2026-06-30T18:02:50.564729Z
SPY260702C00605000,SPY,605.0,2026-07-02,call,132.93,1,13293.0,737.15,3,1.1131,0.9777,0.00071,-0.7017,0.0353,0.0483,2026-06-29T13:58:46.342106Z,2026-06-29T13:59:08.932400Z
SPY260702P00605000,SPY,605.0,2026-07-02,put,0.01,31,56.0,740.58,3,0.7114,-0.0008,5.5e-05,-0.0207,0.0018,-0.0,2026-06-29T18:39:13.950970Z,2026-06-29T18:39:25.443491Z
SPY260702C00610000,SPY,610.0,2026-07-02,call,136.2,2,27240.0,,15,,,,,,,2026-06-17T19:06:44.842269Z,2026-06-17T19:06:53.108166Z
SPY260702P00610000,SPY,610.0,2026-07-02,put,0.01,183,358.0,740.92,3,0.686,-0.0008,5.8e-05,-0.0206,0.0018,-0.0,2026-06-29T20:13:25.127087Z,2026-06-29T20:13:30.008728Z
SPY260702C00615000,SPY,615.0,2026-07-02,call,139.89,1,13989.0,754.43,17,,,,,,,2026-06-15T20:01:21.143888Z,2026-06-15T20:01:41.952711Z
SPY260702P00615000,SPY,615.0,2026-07-02,put,0.01,1,1.0,746.95,2,0.8391,-0.0008,5.8e-05,-0.031,0.0015,-0.0,2026-06-30T17:09:03.517115Z,2026-06-30T17:09:10.385599Z
SPY260702P00620000,SPY,620.0,2026-07-02,put,0.01,1,1.0,746.75,1,1.1388,-0.0008,6.2e-05,-0.0618,0.0011,-0.0,2026-07-01T19:40:48.145780Z,2026-07-01T19:41:04.334100Z
SPY260702C00625000,SPY,625.0,2026-07-02,call,121.93,30,366018.0,746.57,1,1.5743,0.986,0.000578,-1.1426,0.0139,0.0168,2026-07-01T14:41:57.249784Z,2026-07-01T14:42:08.775522Z
SPY260702P00625000,SPY,625.0,2026-07-02,put,0.01,1,1.0,747.33,1,1.0975,-0.0008,6.7e-05,-0.0615,0.0011,-0.0,2026-07-01T17:57:54.129468Z,2026-07-01T17:58:18.938332Z
SPY260702C00630000,SPY,630.0,2026-07-02,call,118.01,1,11801.0,747.33,2,1.1827,0.977,0.000831,-0.9388,0.0301,0.0335,2026-06-30T19:55:45.096630Z,2026-06-30T19:55:53.241072Z
