ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at,is_call,dealer_gex_volw
SPY260702P00480000,SPY,480.0,2026-07-02,put,0.01,1.0,1.0,747.94,1,2.564,-0.0004,1.3e-05,-0.0678,0.0005,-0.0,2026-07-01T15:13:20.535783Z,2026-07-01T15:13:33.705735Z,False,-7.295155297299999
SPY260702P00485000,SPY,484.99999999999994,2026-07-02,put,0.01,10000.0,10000.0,731.53,6,0.9768,-0.0004,1.6e-05,-0.0112,0.0014,-0.0001,2026-06-26T19:06:30.441689Z,2026-06-26T19:06:53.428094Z,False,-89786.526736
SPY260702P00490000,SPY,490.0,2026-07-02,put,0.01,100.0,100.0,731.5,8,0.8264,-0.0004,1.7e-05,-0.0083,0.0016,-0.0001,2026-06-24T19:44:58.145773Z,2026-06-24T19:45:10.111779Z,False,-953.9818465699999
SPY260702P00495000,SPY,495.00000000000006,2026-07-02,put,0.01,983.0,988.0,732.75,8,0.8099,-0.0004,1.7e-05,-0.0083,0.0017,-0.0001,2026-06-24T19:59:59.934052Z,2026-06-24T20:00:29.592057Z,False,-9377.641551783101
SPY260702C00500000,SPY,500.0,2026-07-02,call,234.21,22.0,514857.0,733.045,6,1.4871,0.9821,0.000312,-0.5414,0.0409,0.0798,2026-06-26T19:53:21.199032Z,2026-06-26T19:53:42.116506Z,True,-3851.8419969743995
SPY260702P00500000,SPY,500.0,2026-07-02,put,0.01,10.0,10.0,748.82,1,2.3474,-0.0004,1.6e-05,-0.0672,0.0006,-0.0,2026-07-01T15:26:45.385067Z,2026-07-01T15:26:59.414888Z,False,-89.786526736
SPY260702P00505000,SPY,504.99999999999994,2026-07-02,put,0.01,4.0,4.0,736.15,3,1.2721,-0.0004,1.8e-05,-0.0222,0.001,-0.0,2026-06-29T14:01:22.440537Z,2026-06-29T14:01:44.921117Z,False,-40.4039370312
SPY260702C00510000,SPY,510.0,2026-07-02,call,220.04,1.0,22004.0,729.27,6,1.2923,0.9874,0.000266,-0.3595,0.03,0.0822,2026-06-26T13:44:40.994841Z,2026-06-26T13:44:59.669398Z,True,-149.2701006986
SPY260702P00510000,SPY,510.0,2026-07-02,put,0.01,4995.0,4995.0,732.21,6,0.8663,-0.0005,2e-05,-0.011,0.0015,-0.0001,2026-06-26T19:12:57.373512Z,2026-06-26T19:12:59.116994Z,False,-56060.462630789996
SPY260702P00515000,SPY,515.0,2026-07-02,put,0.02,90.0,180.0,737.36,9,0.7418,-0.0008,3.3e-05,-0.0134,0.0033,-0.0002,2026-06-23T16:32:29.918849Z,2026-06-23T16:32:58.557702Z,False,-1666.6624025370002
