source,code,entry_ts,pnl,return_pct,win,vol_z_20,vol_z_ge1,vol_z_ge2,vol_z_ge3
v14,APLD.US,2024-09-06,773.4402,0.15,1.0,4.234466713573248,True,True,True
v14,APLD.US,2024-10-18,8967.3189,8.57,1.0,-0.09245880223936356,False,False,False
v14,APLD.US,2024-11-22,130054.6809,14.2,1.0,0.5356186609136008,False,False,False
v14,APLD.US,2025-02-10,0.0007,0.18,1.0,-0.5596976565909476,False,False,False
v14,APLD.US,2025-02-20,107445.3847,8.44,1.0,0.3118026968079206,False,False,False
v14,APLD.US,2025-05-08,0.004,1.84,1.0,-0.5597137131296075,False,False,False
v14,APLD.US,2025-05-13,4613.2358,2.84,1.0,0.002971537324299303,False,False,False
v14,APLD.US,2025-05-19,0.0001,0.05,1.0,3.3506969702931886,True,True,True
v14,APLD.US,2025-05-22,8251.6351,1.7,1.0,0.6410948867073075,False,False,False
v14,APLD.US,2025-05-28,-8266.9218,-1.67,0.0,-0.5432711033529044,False,False,False
v14,APLD.US,2025-06-03,307485.2422,28.34,1.0,4.070523318407458,True,True,True
v14,APLD.US,2025-08-05,56166.4084,3.61,1.0,0.21553428240001657,False,False,False
v14,APLD.US,2025-08-25,468.7529,0.02,1.0,-0.31744136625058633,False,False,False
v14,APLD.US,2025-08-27,0.0544,2.42,1.0,-0.2903819524143126,False,False,False
v14,APLD.US,2025-08-29,-10645.8133,-0.54,0.0,0.04814520458931819,False,False,False
v14,APLD.US,2025-10-07,31671.521,3.03,1.0,-0.23324835288797208,False,False,False
v14,APLD.US,2025-10-29,-11234.6329,-1.0,0.0,-0.2647502843727897,False,False,False
v14,APLD.US,2025-12-10,-163681.7027,-6.47,0.0,0.6083334973733777,False,False,False
v14,APLD.US,2026-01-08,57475.3854,19.66,1.0,1.7095954657674988,True,False,False
v14,APLD.US,2026-02-10,-2224.0121,-0.1,0.0,0.15002281236784618,False,False,False
v14,APLD.US,2026-04-06,-6304.9516,-0.38,0.0,0.5348482213376825,False,False,False
v14,APLD.US,2026-04-07,11736.3144,0.42,1.0,0.1482170145460044,False,False,False
v14,APLD.US,2026-04-09,19781.9833,0.81,1.0,3.2058497049729318,True,True,True
v14,APLD.US,2026-04-14,1257.7393,0.32,1.0,0.1549735652350257,False,False,False
v14,APLD.US,2026-04-20,74854.7097,2.41,1.0,-0.36026973101448306,False,False,False
v14,APLD.US,2026-05-27,47599.5346,1.25,1.0,-0.06152312592562938,False,False,False
v14,APLD.US,2026-06-17,3588.9424,0.1,1.0,-0.1952200894652888,False,False,False
v14,ARM.US,2024-08-23,-4911.9422,-0.47,0.0,-0.9819856313286934,False,False,False
v14,ARM.US,2024-08-28,-23853.2869,-2.45,0.0,-0.9269116723475069,False,False,False
v14,ARM.US,2024-09-17,-1824.8032,-0.39,0.0,1.4108473729725373,True,False,False
v14,ARM.US,2024-09-24,28552.7687,5.37,1.0,-1.122914037173269,False,False,False
v14,ARM.US,2024-09-27,-40875.7726,-6.14,0.0,0.04722164276713134,False,False,False
v14,ARM.US,2024-10-16,3031.2085,0.23,1.0,2.1711691551115333,True,True,False
v14,ARM.US,2024-10-22,-72504.7302,-5.14,0.0,0.4534902944437267,False,False,False
v14,ARM.US,2024-12-17,-43754.1123,-2.97,0.0,1.2655206484263886,True,False,False
v14,ARM.US,2025-01-16,558.2726,0.14,1.0,0.10482160795400418,False,False,False
v14,ARM.US,2025-02-06,-82193.1969,-7.05,0.0,1.0114168315017358,True,False,False
v14,ARM.US,2025-05-01,14098.0241,1.86,1.0,-0.6094724675142952,False,False,False
v14,ARM.US,2025-05-07,2767.2055,1.73,1.0,-0.34139291221528567,False,False,False
v14,ARM.US,2025-05-22,-28876.8743,-4.84,0.0,-0.2952426041355774,False,False,False
v14,ARM.US,2025-06-13,133687.599,7.08,1.0,-0.7461681719960488,False,False,False
v14,ARM.US,2025-06-26,49903.2414,2.41,1.0,0.21116575986206965,False,False,False
v14,ARM.US,2025-07-22,2658.5667,0.25,1.0,0.2880906197660848,False,False,False
v14,ARM.US,2025-07-24,6012.5685,0.31,1.0,-1.1988989880489036,False,False,False
v14,ARM.US,2025-07-28,-148497.1945,-13.4,0.0,-1.0873773297494285,False,False,False
v14,ARM.US,2025-09-15,-9189.0712,-0.46,0.0,-0.17239668991032508,False,False,False
v14,ARM.US,2025-10-10,187603.5858,10.83,1.0,1.298692071332917,True,False,False
v14,ARM.US,2025-10-16,-9669.0377,-0.57,0.0,0.35957824438802677,False,False,False
v14,ARM.US,2025-10-22,104822.3964,5.14,1.0,-0.3819607453237465,False,False,False
v14,ARM.US,2026-02-13,19537.3326,0.84,1.0,-0.49535405558081697,False,False,False
v14,ARM.US,2026-02-20,14944.5917,2.41,1.0,-0.8759965973768749,False,False,False
v14,ARM.US,2026-02-26,31245.1926,1.21,1.0,-0.5329979643033866,False,False,False
v14,ARM.US,2026-02-27,-91010.5982,-4.96,0.0,-0.5285215852643743,False,False,False
v14,ARM.US,2026-03-23,163624.8776,6.53,1.0,3.895081034911061,True,True,True
v14,ARM.US,2026-04-28,84996.5423,6.82,1.0,1.206001888048757,True,False,False
v14,ARM.US,2026-06-05,-144078.2003,-9.22,0.0,-0.43223993615353373,False,False,False
v14,ARM.US,2026-06-23,-120427.2993,-6.08,0.0,-0.7128147366428479,False,False,False
