expiry,side,strike,oi,volume,iv,gamma,customer_gex,dealer_gex,moneyness,otm
2026-07-13,call,590.0,10.0,10.0,1.0800827246093752,1.1284960750777825e-06,6.431857973635437,-6.431857973635437,0.7815086965495713,False
2026-07-13,call,650.0,3.0,3.0,0.6982452050781252,5.213965938617737e-06,8.915092166603399,-8.915092166603399,0.8609841572156295,False
2026-07-13,call,702.0,5.0,5.0,0.5881388842773438,0.001186018813488603,3379.8542728172633,-3379.8542728172633,0.9298628897928799,False
2026-07-13,call,705.0,1.0,0.0,0.5617719604492188,0.001340819803980974,764.1996049342853,-764.1996049342853,0.9338366628261827,False
2026-07-13,call,710.0,4.0,4.0,0.5178270874023438,0.0016711749034190742,3809.9413423850974,-3809.9413423850974,0.9404596178816876,False
2026-07-13,call,712.0,4.0,4.0,0.5001270690917969,0.0018349360189923284,4183.283619857766,-4183.283619857766,0.9431087999038895,False
2026-07-13,call,713.0,4.0,4.0,0.49121602539062503,0.0019247484772540954,4388.0378900976275,-4388.0378900976275,0.9444333909149905,False
2026-07-13,call,715.0,6.0,5.0,0.4742484216308594,0.0021379304250728716,7311.074529329642,-7311.074529329642,0.9470825729371924,False
2026-07-13,call,720.0,70.0,13.0,0.4299373413085938,0.002799680464570724,111697.3577680152,-111697.3577680152,0.9537055279926973,False
2026-07-13,call,722.0,3.0,14.0,0.4116269775390625,0.003135132648031143,5360.602052405194,-5360.602052405194,0.9563547100148992,False
2026-07-13,call,723.0,17.0,2.0,0.4024717956542969,0.00332537541362259,32220.034106491083,-32220.034106491083,0.9576793010260002,False
2026-07-13,call,724.0,1.0,3.0,0.39331661376953125,0.003533017575016997,2013.641674323142,-2013.641674323142,0.9590038920371011,False
2026-07-13,call,725.0,11.0,1.0,0.38403936279296874,0.0037568630440721557,23553.445213911724,-23553.445213911724,0.9603284830482022,False
2026-07-13,call,727.0,15.0,5.0,0.36475244628906256,0.0042495142303731435,36330.12899688489,-36330.12899688489,0.962977665070404,False
2026-07-13,call,728.0,4.0,1.0,0.35535312622070303,0.004541403183172952,10353.482274422973,-10353.482274422973,0.964302256081505,False
2026-07-13,call,729.0,3.0,3.0,0.34668622070312494,0.00488947474874473,8360.26137195966,-8360.26137195966,0.965626847092606,False
2026-07-13,call,730.0,84.0,83.0,0.3371648315429688,0.0052442408748009555,251072.01623629886,-251072.01623629886,0.966951438103707,False
2026-07-13,call,731.0,20.0,48.0,0.3283758569335937,0.005667517874713097,64603.981951257134,-64603.981951257134,0.9682760291148079,False
2026-07-13,call,732.0,34.0,11.0,0.3181220532226562,0.00607866375967255,117794.07092276601,-117794.07092276601,0.9696006201259089,False
2026-07-13,call,733.0,50.0,8.0,0.2999337585449219,0.006172028144257755,175887.22419974022,-175887.22419974022,0.9709252111370099,False
2026-07-13,call,734.0,23.0,3.0,0.29041236938476556,0.006697802007451502,87800.4080451276,-87800.4080451276,0.9722498021481109,False
2026-07-13,call,735.0,107.0,224.0,0.28076891113281244,0.007286179223906961,444344.7163152093,-444344.7163152093,0.9735743931592118,False
2026-07-13,call,736.0,42.0,95.0,0.27173579833984374,0.00799062673451625,191278.66292972417,-191278.66292972417,0.9748989841703127,False
2026-07-13,call,737.0,34.0,216.0,0.26197027099609377,0.008749806991236255,169556.2422985078,-169556.2422985078,0.9762235751814138,False
2026-07-13,call,738.0,235.0,17.0,0.25269302001953126,0.009654241846479372,1293071.1711088386,-1293071.1711088386,0.9775481661925147,False
2026-07-13,call,739.0,97.0,18.0,0.20325503784179685,0.007256557658752001,401179.5414380257,-401179.5414380257,0.9788727572036157,False
2026-07-13,call,740.0,966.0,666.0,0.1676108630371094,0.005106484457161384,2811483.46542266,-2811483.46542266,0.9801973482147166,False
2026-07-13,call,741.0,427.0,192.0,0.15210808837890627,0.004918797310592811,1197080.0549021433,-1197080.0549021433,0.9815219392258177,False
2026-07-13,call,742.0,931.0,1042.0,0.14478394287109375,0.005878316325589594,3119169.8670709403,-3119169.8670709403,0.9828465302369186,False
2026-07-13,call,743.0,906.0,292.0,0.1412439392089844,0.007809578221623673,4032665.2216781564,-4032665.2216781564,0.9841711212480195,False
2026-07-13,call,744.0,1048.0,834.0,0.12525288818359376,0.0076314244418732935,4558303.986493986,-4558303.986493986,0.9854957122591206,False
2026-07-13,call,745.0,2848.0,1027.0,0.12000391723632811,0.010086313226249448,16372267.386322385,-16372267.386322385,0.9868203032702215,False
2026-07-13,call,746.0,746.0,1149.0,0.11267977172851562,0.012788182194616991,5437309.263292406,-5437309.263292406,0.9881448942813225,False
2026-07-13,call,747.0,558.0,1045.0,0.10767493896484376,0.01738941291608334,5530386.858926368,-5530386.858926368,0.9894694852924234,False
2026-07-13,call,748.0,1062.0,1692.0,0.10205976074218749,0.023512782691765703,14231967.383253923,-14231967.383253923,0.9907940763035245,False
2026-07-13,call,749.0,1531.0,4481.0,0.09620044433593751,0.03192676828449321,27859065.467899594,-27859065.467899594,0.9921186673146254,False
2026-07-13,call,750.0,4271.0,7726.0,0.0847869842529297,0.04115035225466996,100170426.19788414,-100170426.19788414,0.9934432583257263,False
2026-07-13,call,751.0,3248.0,15931.0,0.07947697875976564,0.05829348659439052,107912671.77363865,-107912671.77363865,0.9947678493368273,False
2026-07-13,call,752.0,3488.0,52116.0,0.07459421508789063,0.08161933349277853,162257923.28004616,-162257923.28004616,0.9960924403479283,False
2026-07-13,call,753.0,2394.0,95812.0,0.07038283142089845,0.10992479774725548,149987896.43998224,-149987896.43998224,0.9974170313590293,False
2026-07-13,call,754.0,1922.0,92734.0,0.06653765502929687,0.13774900060989956,150896175.61408335,-150896175.61408335,0.9987416223701302,False
2026-07-13,call,755.0,2727.0,116256.0,0.0628145477294922,0.15515334073609546,241147443.45333004,-241147443.45333004,1.0000662133812313,True
2026-07-13,call,756.0,1906.0,86597.0,0.060434200439453134,0.14751354406024497,160247471.80186346,-160247471.80186346,1.001390804392332,True
2026-07-13,call,757.0,3685.0,54664.0,0.058969371337890625,0.1155085214913939,242598387.6064887,-242598387.6064887,1.0027153954034331,True
2026-07-13,call,758.0,6590.0,45376.0,0.05713833496093751,0.0732756642650902,275221002.0117608,-275221002.0117608,1.0040399864145342,True
2026-07-13,call,759.0,9412.0,34677.0,0.05603971313476562,0.03699186712203505,198437873.24221528,-198437873.24221528,1.005364577425635,True
2026-07-13,call,760.0,8604.0,37973.0,0.0551852294921875,0.014797365720123608,72563997.93380056,-72563997.93380056,1.006689168436736,True
2026-07-13,call,761.0,3819.0,15518.0,0.0551852294921875,0.005048476960023199,10988702.85770515,-10988702.85770515,1.0080137594478369,True
2026-07-13,call,762.0,2526.0,6451.0,0.055673505859375,0.0015339081603715332,2208356.0586413573,-2208356.0586413573,1.009338350458938,True
2026-07-13,call,763.0,1630.0,3730.0,0.05713833496093751,0.0004879570340258206,453320.73077833833,-453320.73077833833,1.010662941470039,True
2026-07-13,call,764.0,874.0,2037.0,0.059579716796875,0.00018233429691161452,90827.25568219638,-90827.25568219638,1.0119875324811398,True
2026-07-13,call,765.0,966.0,2311.0,0.065439033203125,0.00014408005709979412,79326.33529612287,-79326.33529612287,1.0133121234922409,True
2026-07-13,call,766.0,648.0,622.0,0.071298349609375,0.00011755067856630896,43414.67350125039,-43414.67350125039,1.014636714503342,True
