id,ts,underlying,ticker,strike,expiry,contract_type,last_price,volume,premium,underlying_price,dte,iv,delta,gamma,theta,vega,rho
226643582,2026-07-10T20:14:56.265468Z,SPY,SPY260713C00755000,755.0,2026-07-13,call,1.68,400,67200.0,754.67,3,0.0639,0.4891,0.091165,-0.3228,0.2728,0.0302
226643414,2026-07-10T20:14:50.838250Z,SPY,SPY260918P00700000,700.0,2026-09-18,put,5.38,400,215200.0,754.67,70,0.192,-0.156,0.003768,-0.0973,0.7901,-0.236
226643178,2026-07-10T20:14:48.959236Z,SPY,SPY260713C00755000,755.0,2026-07-13,call,1.68,402,67536.0,754.67,3,0.0639,0.4891,0.091165,-0.3228,0.2728,0.0302
226643011,2026-07-10T20:14:46.409947Z,SPY,SPY260918P00700000,700.0,2026-09-18,put,5.38,99,53262.0,754.67,70,0.192,-0.156,0.003768,-0.0973,0.7901,-0.236
226642916,2026-07-10T20:14:45.240716Z,SPY,SPY260717P00750000,750.0,2026-07-17,put,2.13,1000,213000.0,754.67,7,0.1013,-0.3108,0.033368,-0.2461,0.3691,-0.0454
226642813,2026-07-10T20:14:43.465097Z,SPY,SPY260831C00780000,780.0,2026-08-31,call,5.54,289,160106.0,754.67,52,0.1196,0.2713,0.009715,-0.1258,0.9431,0.2837
226642137,2026-07-10T20:14:14.109812Z,SPY,SPY260713C00755000,755.0,2026-07-13,call,1.7,401,68170.0,754.67,3,0.0647,0.4893,0.090132,-0.3262,0.2728,0.0302
226641870,2026-07-10T20:14:05.323609Z,SPY,SPY260715C00756000,756.0,2026-07-15,call,2.63,305,80215.0,754.67,5,0.088,0.4509,0.050905,-0.3373,0.3496,0.0463
226639276,2026-07-10T20:12:09.292862Z,SPY,SPY260715C00756000,756.0,2026-07-15,call,2.59,400,103600.0,754.67,5,0.0869,0.4502,0.051564,-0.3332,0.3496,0.0462
226639052,2026-07-10T20:11:58.234578Z,SPY,SPY260821C00752000,752.0,2026-08-21,call,17.16,30,51480.0,754.67,42,0.1406,0.5688,0.0109,-0.2036,1.0042,0.4742
226639051,2026-07-10T20:11:58.232274Z,SPY,SPY260821C00751000,751.0,2026-08-21,call,17.83,30,53490.0,754.67,42,0.1418,0.5792,0.010755,-0.2047,0.9992,0.4824
226638359,2026-07-10T20:11:31.299106Z,SPY,SPY260821C00778000,778.0,2026-08-21,call,4.49,217,97433.0,754.67,42,0.1166,0.2553,0.010755,-0.1304,0.8219,0.2165
226638357,2026-07-10T20:11:31.295022Z,SPY,SPY260821C00775000,775.0,2026-08-21,call,5.44,210,114240.0,754.67,42,0.1187,0.2911,0.011281,-0.1425,0.8772,0.2465
