expiry,side,strike,oi,volume,iv,gamma,customer_gex,dealer_gex,moneyness,otm
2026-07-13,call,320.0,0.0,22.0,1.3984405078125,0.00012971710940056457,0.0,-0.0,0.7847753392588246,False
2026-07-13,call,330.0,2.0,22.0,1.22266013671875,0.0001526359692436092,50.757023526771476,-50.757023526771476,0.8092995686106629,False
2026-07-13,call,335.0,0.0,18.0,1.1489300366210937,0.0001808939214087442,0.0,-0.0,0.8215616832865821,False
2026-07-13,call,340.0,6.0,58.0,1.0957076464843751,0.0002472125953537409,246.62159739931872,-246.62159739931872,0.8338237979625012,False
2026-07-13,call,345.0,10.0,26.0,1.021489267578125,0.0002976752566290452,494.93936714038296,-494.93936714038296,0.8460859126384203,False
2026-07-13,call,350.0,17.0,72.0,0.9477544287109375,0.0003632048253415535,1026.6201710393714,-1026.6201710393714,0.8583480273143395,False
2026-07-13,call,352.5,16.0,10.0,0.911133701171875,0.00040372912508046066,1074.0372037705547,-1074.0372037705547,0.864479084652299,False
2026-07-13,call,355.0,12.0,91.0,0.8388687988281249,0.00034114450435674104,680.6578968039233,-680.6578968039233,0.8706101419902585,False
2026-07-13,call,357.5,16.0,111.0,0.8208025732421874,0.00044233775260476275,1176.7474116094274,-1176.7474116094274,0.8767411993282181,False
2026-07-13,call,360.0,27.0,41.0,0.8007832421875,0.000565499379588118,2538.6636168457558,-2538.6636168457558,0.8828722566661777,False
2026-07-13,call,362.5,28.0,724.0,0.764650791015625,0.0006419203710205982,2988.4669092045474,-2988.4669092045474,0.8890033140041372,False
2026-07-13,call,365.0,19.0,102.0,0.727541787109375,0.0007273621442624267,2297.8070483107226,-2297.8070483107226,0.8951343713420968,False
2026-07-13,call,367.5,27.0,949.0,0.6445348046875,0.0005442331828530541,2443.1945113636016,-2443.1945113636016,0.9012654286800564,False
2026-07-13,call,370.0,90.0,102.0,0.6543003320312502,0.0009607671634083741,14377.054629611534,-14377.054629611534,0.9073964860180159,False
2026-07-13,call,372.5,11.0,703.0,0.5898478515625001,0.0008642582406492132,1580.685525120496,-1580.685525120496,0.9135275433559755,False
2026-07-13,call,375.0,25.0,121.0,0.5810588769531251,0.0013144272746993917,5463.687264931863,-5463.687264931863,0.9196586006939351,False
2026-07-13,call,377.5,416.0,482.0,0.5185595019531251,0.0012150907322130973,84044.88765687424,-84044.88765687424,0.9257896580318947,False
2026-07-13,call,380.0,76.0,731.0,0.495122236328125,0.0016702181649381456,21105.520004773905,-21105.520004773905,0.9319207153698542,False
2026-07-13,call,382.5,424.0,53.0,0.446294599609375,0.0017912666926978148,126280.23143091402,-126280.23143091402,0.9380517727078138,False
2026-07-13,call,385.0,201.0,676.0,0.4101621484375,0.0022390461726617614,74828.72905097983,-74828.72905097983,0.9441828300457734,False
2026-07-13,call,387.5,38.0,53.0,0.4292049267578125,0.00481512335167324,30422.876591082073,-30422.876591082073,0.9503138873837329,False
2026-07-13,call,390.0,360.0,3273.0,0.36426416992187505,0.005027335846704315,300919.0357966071,-300919.0357966071,0.9564449447216925,False
2026-07-13,call,392.5,706.0,1677.0,0.3679262426757813,0.00924102430460678,1084761.0317460694,-1084761.0317460694,0.9625760020596521,False
2026-07-13,call,395.0,1542.0,2356.0,0.3364324169921875,0.013232701539707008,3392674.1744247735,-3392674.1744247735,0.9687070593976116,False
2026-07-13,call,397.5,576.0,756.0,0.3464420825195312,0.021596664562353207,2068323.3186536103,-2068323.3186536103,0.9748381167355712,False
