id,ts,underlying,ticker,strike,expiry,contract_type,last_price,volume,premium,underlying_price,dte,iv,delta,gamma,theta,vega,rho
226616952,2026-07-10T19:59:32.441391Z,MU,MU260713C01010000,1009.9999999999999,2026-07-13,call,12.4,160,198400.0,980.11,3,0.6774,0.3255,0.005983,-3.6503,0.32,0.0252
226612712,2026-07-10T19:59:23.623606Z,MU,MU260717C01200000,1200.0,2026-07-17,call,3.75,199,74625.0,980.99,7,0.9396,0.0698,0.00105,-1.2302,0.1821,0.0124
226611238,2026-07-10T19:59:21.021966Z,MU,MU260717C01050000,1050.0,2026-07-17,call,23.69,30,71070.0,980.99,7,0.9036,0.3178,0.002905,-3.1622,0.4844,0.0552
226610619,2026-07-10T19:59:19.927985Z,MU,MU260717C01035000,1035.0,2026-07-17,call,28.62,19,54378.0,980.99,7,0.9139,0.3619,0.003019,-3.3639,0.5092,0.0626
226610618,2026-07-10T19:59:19.926941Z,MU,MU260717C01030000,1030.0,2026-07-17,call,30.04,19,57076.0,980.99,7,0.9102,0.3757,0.003068,-3.3926,0.5154,0.0649
226610321,2026-07-10T19:59:19.434572Z,MU,MU261120P01140000,1140.0,2026-11-20,put,307.1,34,1044140.0,980.99,133,0.9219,-0.4849,0.00073,-0.7217,2.3607,-2.8524
226610032,2026-07-10T19:59:18.955496Z,MU,MU261218P00850000,850.0,2026-12-18,put,150.0,5,75000.0,980.99,161,0.9139,-0.2836,0.000569,-0.5735,2.2066,-1.8886
226610020,2026-07-10T19:59:18.941257Z,MU,MU260717P00990000,990.0000000000001,2026-07-17,put,56.0,20,112000.0,980.99,7,0.9529,-0.4987,0.003082,-3.6216,0.542,-0.1046
226609437,2026-07-10T19:59:17.908797Z,MU,MU261120P01140000,1140.0,2026-11-20,put,306.2,8,244960.0,980.99,133,0.9181,-0.4858,0.000733,-0.7184,2.3609,-2.8522
226609395,2026-07-10T19:59:17.848150Z,MU,MU260713P00940000,940.0,2026-07-13,put,10.0,50,50000.0,980.99,3,0.7349,-0.2484,0.004845,-3.4189,0.2817,-0.0209
226609125,2026-07-10T19:59:17.384672Z,MU,MU260713P00985000,985.0,2026-07-13,put,27.1,20,54200.0,980.99,3,0.71,-0.5101,0.006315,-4.1324,0.3547,-0.0434
226608818,2026-07-10T19:59:16.884448Z,MU,MU261120C00800000,800.0,2026-11-20,call,305.3,2,61060.0,980.99,133,0.922,0.7499,0.000582,-0.7054,1.8821,1.5681
226608817,2026-07-10T19:59:16.883598Z,MU,MU260918C00720000,720.0,2026-09-18,call,312.72,2,62544.0,980.99,70,0.9644,0.8325,0.000605,-0.804,1.0769,0.9664
226608501,2026-07-10T19:59:16.290981Z,MU,MU260821P00540000,540.0,2026-08-21,put,6.5,200,130000.0,980.99,42,1.1181,-0.0378,0.000221,-0.3588,0.2736,-0.0501
226608159,2026-07-10T19:59:15.745606Z,MU,MU270617C00480000,480.0,2027-06-17,call,582.6,1,58260.0,980.99,342,0.9187,0.9025,0.000198,-0.2571,1.6361,2.8365
226608158,2026-07-10T19:59:15.744626Z,MU,MU270319C00480000,480.0,2027-03-19,call,561.81,1,56181.0,980.99,252,0.9437,0.9104,0.00021,-0.2879,1.3193,2.2872
226606169,2026-07-10T19:59:12.328547Z,MU,MU260717C00135000,135.0,2026-07-17,call,846.72,1,84672.0,980.99,7,,,,,,
226606168,2026-07-10T19:59:12.328001Z,MU,MU260717C00130000,130.0,2026-07-17,call,851.69,1,85169.0,980.99,7,,,,,,
226603666,2026-07-10T19:59:07.979055Z,MU,MU270617C00550000,550.0,2027-06-17,call,538.0,1,53800.0,980.99,342,0.9064,0.8742,0.00024,-0.2996,1.9639,2.994
226602225,2026-07-10T19:59:05.408023Z,MU,MU260717P01000000,1000.0,2026-07-17,put,60.64,12,72768.0,980.99,7,0.934,-0.5307,0.003135,-3.5335,0.5404,-0.1115
226601448,2026-07-10T19:59:00.699307Z,MU,MU260713P00950000,950.0000000000001,2026-07-13,put,12.9,202,260580.0,980.99,3,0.7327,-0.3008,0.005342,-3.7427,0.3096,-0.0253
226601198,2026-07-10T19:58:58.825665Z,MU,MU260717P01000000,1000.0,2026-07-17,put,60.83,13,79079.0,980.99,7,0.9376,-0.5304,0.003123,-3.5473,0.5404,-0.1115
226599739,2026-07-10T19:58:30.306639Z,MU,MU260717P01000000,1000.0,2026-07-17,put,60.91,15,91365.0,980.99,7,0.939,-0.5303,0.003118,-3.5531,0.5404,-0.1114
226598883,2026-07-10T19:58:27.433764Z,MU,MU260717P01000000,1000.0,2026-07-17,put,60.76,11,66836.0,980.99,7,0.9363,-0.5305,0.003127,-3.5422,0.5404,-0.1115
226598149,2026-07-10T19:58:24.379682Z,MU,MU260717P01000000,1000.0,2026-07-17,put,60.53,12,72636.0,980.99,7,0.932,-0.5309,0.003141,-3.5255,0.5403,-0.1115
226597154,2026-07-10T19:58:20.406061Z,MU,MU260717P01135000,1135.0,2026-07-17,put,162.21,4,64884.0,983.07,7,0.9943,-0.8336,0.001844,-2.2924,0.3398,-0.1883
226595444,2026-07-10T19:58:17.087764Z,MU,MU260720C00980000,980.0,2026-07-20,call,57.5,83,477250.0,983.07,10,0.855,0.5405,0.002853,-2.8192,0.6458,0.1298
226591313,2026-07-10T19:58:10.131700Z,MU,MU260821P00900000,900.0,2026-08-21,put,80.58,10,80580.0,983.07,42,0.9437,-0.3256,0.001145,-1.3,1.2012,-0.4611
226591312,2026-07-10T19:58:10.130710Z,MU,MU260821P00840000,840.0,2026-08-21,put,57.69,10,57690.0,983.07,42,0.9562,-0.2537,0.001004,-1.1778,1.0679,-0.3533
226588686,2026-07-10T19:58:05.856204Z,MU,MU260713C01020000,1020.0,2026-07-13,call,10.5,50,52500.0,983.07,3,0.6787,0.2869,0.00563,-3.4665,0.3035,0.0223
226587311,2026-07-10T19:58:03.408873Z,MU,MU260713C01000000,1000.0,2026-07-13,call,17.0,30,51000.0,983.07,3,0.6804,0.4052,0.006392,-3.9645,0.3455,0.0313
226587096,2026-07-10T19:58:03.036485Z,MU,MU260713P00890000,890.0,2026-07-13,put,3.35,200,67000.0,983.07,3,0.8526,-0.0917,0.002168,-2.0747,0.1468,-0.0077
226586589,2026-07-10T19:58:02.179886Z,MU,MU260807C00750000,750.0,2026-08-07,call,257.38,2,51476.0,983.07,28,1.0286,0.8653,0.000774,-1.1574,0.5903,0.4551
226581555,2026-07-10T19:57:14.378234Z,MU,MU260713C01000000,1000.0,2026-07-13,call,17.5,63,110250.0,982.21,3,0.7049,0.404,0.00617,-4.099,0.3449,0.0312
226581553,2026-07-10T19:57:14.376524Z,MU,MU260713C00990000,990.0000000000001,2026-07-13,call,21.53,61,131333.0,982.21,3,0.7031,0.4656,0.006348,-4.2011,0.3539,0.0358
226580658,2026-07-10T19:57:10.179585Z,MU,MU260713C00990000,990.0000000000001,2026-07-13,call,21.55,25,53875.0,982.21,3,0.7037,0.4657,0.006343,-4.2045,0.3539,0.0358
226580085,2026-07-10T19:57:07.468731Z,MU,MU260717C01050000,1050.0,2026-07-17,call,25.13,20,50260.0,982.21,7,0.9251,0.3263,0.002865,-3.2766,0.4904,0.0566
226576182,2026-07-10T19:56:59.778805Z,MU,MU260717C01020000,1020.0,2026-07-17,call,35.0,20,70000.0,982.21,7,0.9297,0.4121,0.003078,-3.5615,0.5294,0.0709
226575990,2026-07-10T19:56:59.528834Z,MU,MU260720C01025000,1025.0,2026-07-20,call,39.02,30,117060.0,982.21,10,0.8677,0.4143,0.002763,-2.794,0.6336,0.1008
226575986,2026-07-10T19:56:59.524977Z,MU,MU260717C01025000,1025.0,2026-07-17,call,33.27,30,99810.0,982.21,7,0.9306,0.3975,0.003047,-3.5316,0.5246,0.0685
226575983,2026-07-10T19:56:59.521768Z,MU,MU260713C01020000,1020.0,2026-07-13,call,10.5,50,52500.0,982.21,3,0.6868,0.2846,0.005548,-3.4911,0.3021,0.0221
226569271,2026-07-10T19:56:15.407685Z,MU,MU270219P01360000,1360.0,2027-02-19,put,514.8,1,51480.0,980.8,224,0.8985,-0.5292,0.000576,-0.4857,3.0571,-6.3445
226569268,2026-07-10T19:56:15.395290Z,MU,MU260717P00985000,985.0,2026-07-17,put,52.07,10,52070.0,980.8,7,0.9287,-0.4849,0.00316,-3.5271,0.5415,-0.1012
226568709,2026-07-10T19:56:12.273551Z,MU,MU260713C01020000,1020.0,2026-07-13,call,10.4,200,208000.0,980.8,3,0.6967,0.2799,0.005433,-3.5077,0.2993,0.0217
226568514,2026-07-10T19:56:11.321307Z,MU,MU260717P00990000,990.0000000000001,2026-07-17,put,55.32,17,94044.0,980.8,7,0.9386,-0.5001,0.003129,-3.5654,0.5419,-0.1047
226568505,2026-07-10T19:56:11.310212Z,MU,MU260717C00990000,990.0000000000001,2026-07-17,call,47.39,17,80563.0,980.8,7,0.9463,0.5003,0.003104,-3.7171,0.5419,0.085
226568027,2026-07-10T19:56:09.414037Z,MU,MU270115C01700000,1700.0,2027-01-15,call,92.0,50,460000.0,980.8,189,0.8916,0.3085,0.000559,-0.612,2.4846,1.0903
226566892,2026-07-10T19:56:04.298506Z,MU,MU270219P01360000,1360.0,2027-02-19,put,514.96,1,51496.0,980.8,224,0.899,-0.529,0.000576,-0.486,3.0572,-6.3444
226564632,2026-07-10T19:56:00.273223Z,MU,MU260715C00950000,950.0000000000001,2026-07-15,call,59.17,10,59170.0,980.8,5,0.9238,0.6386,0.003532,-4.0426,0.43,0.0777
226562730,2026-07-10T19:55:57.301217Z,MU,MU260717P00985000,985.0,2026-07-17,put,52.84,10,52840.0,980.8,7,0.943,-0.4844,0.003112,-3.5819,0.5415,-0.1012
226562096,2026-07-10T19:55:56.351561Z,MU,MU270115C01700000,1700.0,2027-01-15,call,92.0,100,920000.0,980.8,189,0.8916,0.3085,0.000559,-0.612,2.4846,1.0903
226559866,2026-07-10T19:55:53.010663Z,MU,MU261016C01030000,1030.0,2026-10-16,call,171.1,3,51330.0,980.8,98,0.9236,0.5644,0.000839,-0.99,2.001,1.027
226559865,2026-07-10T19:55:53.009698Z,MU,MU261016C00990000,990.0000000000001,2026-10-16,call,186.79,3,56037.0,980.8,98,0.9247,0.5969,0.000824,-0.9773,1.9674,1.0703
226558209,2026-07-10T19:55:41.711457Z,MU,MU261218P00740000,740.0,2026-12-18,put,100.15,10,100150.0,980.8,161,0.9178,-0.212,0.000485,-0.5001,1.8878,-1.3589
226555991,2026-07-10T19:55:09.728472Z,MU,MU261016C00800000,800.0,2026-10-16,call,282.1,2,56420.0,982.29,98,0.9357,0.7551,0.00066,-0.8203,1.5996,1.2341
226555990,2026-07-10T19:55:09.727448Z,MU,MU261016C00760000,760.0,2026-10-16,call,306.44,2,61288.0,982.29,98,0.9395,0.7868,0.000608,-0.7669,1.4801,1.2523
226555547,2026-07-10T19:55:07.694707Z,MU,MU260713C00970000,969.9999999999999,2026-07-13,call,31.0,20,62000.0,982.29,3,0.6843,0.5948,0.006361,-4.0051,0.3452,0.0455
226555521,2026-07-10T19:55:07.657917Z,MU,MU260821C00970000,969.9999999999999,2026-08-21,call,130.0,4,52000.0,982.29,42,0.9233,0.5845,0.001268,-1.483,1.2994,0.511
226551599,2026-07-10T19:54:57.342959Z,MU,MU260717C01100000,1100.0,2026-07-17,call,14.05,75,105375.0,982.29,7,0.9281,0.2091,0.002277,-2.616,0.391,0.0367
