expiry,side,strike,oi,volume,iv,gamma,customer_gex,dealer_gex,moneyness,otm
2026-07-17,call,55.0,53.0,15.0,7.146485441894533,6.051794762000024e-05,335.4387822371702,-335.4387822371702,0.1700732784213866,False
2026-07-17,call,60.0,96.0,4.0,6.863282670898437,6.921809212623579e-05,694.93481504969,-694.93481504969,0.18553448555060356,False
2026-07-17,call,65.0,91.0,3.0,6.253908432617187,6.55791148429599e-05,624.1085824196282,-624.1085824196282,0.2009956926798205,False
2026-07-17,call,70.0,64.0,4.0,5.9687525390625,7.194986346678838e-05,481.57414268661825,-481.57414268661825,0.21645689980903748,False
2026-07-17,call,75.0,26.0,1.0,5.634768581542969,7.51850234149983e-05,204.43624683641406,-204.43624683641406,0.23191810693825446,False
2026-07-17,call,80.0,18.0,1.0,5.460940673828125,8.588197105208146e-05,161.66936048400453,-161.66936048400453,0.2473793140674714,False
2026-07-17,call,85.0,19.0,4.0,3.281251796875,4.101478808165115e-06,8.149806264990836,-8.149806264990836,0.2628405211966884,False
2026-07-17,call,90.0,54.0,1.0,5.04980837524414,0.00010390122980540804,586.7696736706928,-586.7696736706928,0.27830172832590533,False
2026-07-17,call,95.0,29.0,10.0,4.846683629150389,0.00011271487930955806,341.84754101828224,-341.84754101828224,0.2937629354551223,False
2026-07-17,call,97.5,13.0,1.0,4.662113547363281,0.00010976274919825768,149.22841989872995,-149.22841989872995,0.3014935390197308,False
2026-07-17,call,100.0,31.0,2.0,4.569340225830079,0.00011425956637147797,370.4311308125202,-370.4311308125202,0.3092241425843393,False
2026-07-17,call,105.0,106.0,1.0,4.39062951171875,0.00012367846054307845,1371.0495423287448,-1371.0495423287448,0.3246853497135562,False
2026-07-17,call,110.0,108.0,2.0,4.300785874023436,0.00014297900786549718,1614.9134316142702,-1614.9134316142702,0.3401465568427732,False
2026-07-17,call,115.0,151.0,1.0,4.136723579101563,0.00015457249072569436,2440.9695643300224,-2440.9695643300224,0.3556077639719902,False
2026-07-17,call,120.0,262.0,2.0,3.979492238769531,0.00016693957860945438,4574.185957160189,-4574.185957160189,0.3710689711012071,False
2026-07-17,call,125.0,397.0,1.0,3.8291019897460936,0.0001802422898523681,7483.425077546056,-7483.425077546056,0.38653017823042407,False
