ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at,is_call,dealer_gex_volw
TSLA260702C00230000,TSLA,230.0,2026-07-02,call,196.0,3.0,58800.0,425.67,1,4.7356,0.9955,0.000126,-0.7279,0.003,0.0062,2026-07-01T17:32:41.156647Z,2026-07-01T17:32:41.994524Z,True,-65.5945535322
TSLA260702P00230000,TSLA,230.0,2026-07-02,put,0.02,37.0,79.0,421.8,1,3.8039,-0.0008,3.4e-05,-0.1187,0.0006,-0.0,2026-07-01T13:46:53.033798Z,2026-07-01T13:47:23.177765Z,False,-218.30145064419997
TSLA260702C00240000,TSLA,240.0,2026-07-02,call,175.64,9.0,158076.0,415.35,2,3.1531,0.9932,0.000196,-0.4895,0.0058,0.013,2026-06-30T15:26:05.111766Z,2026-06-30T15:26:23.764098Z,True,-306.1079164836
TSLA260702P00240000,TSLA,240.0,2026-07-02,put,0.01,302.0,335.0,421.09,2,2.3688,-0.0005,2.4e-05,-0.0323,0.0005,-0.0,2026-06-30T19:58:09.268189Z,2026-06-30T19:58:29.673821Z,False,-1257.7495343952
TSLA260702C00250000,TSLA,250.0,2026-07-02,call,175.88,14.0,253083.0,425.59,1,4.387,0.9925,0.000212,-1.0427,0.0046,0.0068,2026-07-01T19:11:03.775547Z,2026-07-01T19:11:26.909520Z,True,-515.0387166232
TSLA260702P00250000,TSLA,250.0,2026-07-02,put,0.05,6.0,30.0,422.89,1,3.6143,-0.002,8e-05,-0.2567,0.0014,-0.0,2026-07-01T13:53:09.925788Z,2026-07-01T13:53:36.241118Z,False,-83.294671152
TSLA260702C00255000,TSLA,255.0,2026-07-02,call,132.88,1.0,13288.0,387.75,3,1.6522,0.998,0.00011,-0.0932,0.0022,0.0209,2026-06-29T13:40:18.688442Z,2026-06-29T13:40:23.156623Z,True,-19.088362139
TSLA260702P00255000,TSLA,255.0,2026-07-02,put,0.01,5.0,5.0,426.76,1,3.0798,-0.0005,2.7e-05,-0.0641,0.0004,-0.0,2026-07-01T16:58:57.173817Z,2026-07-01T16:59:02.518878Z,False,-23.4266262615
TSLA260702C00260000,TSLA,260.0,2026-07-02,call,167.62,1.0,16762.0,427.36,1,4.0551,0.9928,0.00022,-0.9358,0.0045,0.007,2026-07-01T16:37:50.703107Z,2026-07-01T16:38:04.655462Z,True,-38.176724278
TSLA260702P00260000,TSLA,260.0,2026-07-02,put,0.01,158.0,333.0,426.32,1,2.9648,-0.0005,2.9e-05,-0.0639,0.0004,-0.0,2026-07-01T14:43:44.618671Z,2026-07-01T14:44:13.216131Z,False,-795.1170483718
TSLA260702C00265000,TSLA,265.0,2026-07-02,call,108.99,19.0,206584.0,372.88,7,1.3826,0.9702,0.000947,-0.3761,0.0349,0.0485,2026-06-25T13:53:41.898041Z,2026-06-25T13:54:01.939063Z,True,-3122.3354542457005
TSLA260702P00265000,TSLA,265.0,2026-07-02,put,0.06,67.0,206.0,426.28,1,3.3504,-0.0026,0.000106,-0.2965,0.0018,-0.0,2026-07-01T16:56:13.164754Z,2026-07-01T16:56:27.411286Z,False,-1232.4140719197999
TSLA260702C00270000,TSLA,270.0,2026-07-02,call,155.4,1.0,15540.0,425.28,1,3.3405,0.9964,0.000145,-0.4349,0.0024,0.0074,2026-07-01T18:26:33.695409Z,2026-07-01T18:26:52.141853Z,True,-25.1619319105
TSLA260702P00270000,TSLA,270.0,2026-07-02,put,0.01,3126.0,5277.0,426.58,1,2.7548,-0.0006,3.4e-05,-0.0634,0.0005,-0.0,2026-07-01T19:40:28.692277Z,2026-07-01T19:40:33.429315Z,False,-18443.522559831603
TSLA260702C00275000,TSLA,275.0,2026-07-02,call,150.11,4.0,60281.0,424.86,1,3.5738,0.9922,0.000269,-0.8824,0.0048,0.0074,2026-07-01T18:22:44.685220Z,2026-07-01T18:22:47.880042Z,True,-186.71888783239996
TSLA260702P00275000,TSLA,275.0,2026-07-02,put,0.01,488.0,2987.0,425.18,1,2.633,-0.0006,3.7e-05,-0.0631,0.0005,-0.0,2026-07-01T18:53:06.142127Z,2026-07-01T18:53:28.366696Z,False,-3133.2678798344
TSLA260702C00280000,TSLA,280.0,2026-07-02,call,144.65,3.0,43456.0,424.75,1,3.3007,0.9938,0.000239,-0.6787,0.0039,0.0076,2026-07-01T18:55:46.237632Z,2026-07-01T18:56:01.240205Z,True,-124.42141503330001
TSLA260702P00280000,TSLA,280.0,2026-07-02,put,0.01,346.0,417.0,427.04,1,2.5547,-0.0006,3.9e-05,-0.0629,0.0005,-0.0,2026-07-01T19:49:50.124861Z,2026-07-01T19:50:16.373937Z,False,-2341.6214427606
TSLA260702C00285000,TSLA,285.0,2026-07-02,call,139.75,2.0,27979.0,424.75,1,3.3792,0.9905,0.00034,-0.9931,0.0057,0.0077,2026-07-01T18:55:46.240241Z,2026-07-01T18:56:01.240205Z,True,-118.000784132
TSLA260702P00285000,TSLA,285.0,2026-07-02,put,0.01,698.0,2769.0,426.25,1,2.444,-0.0007,4.2e-05,-0.0626,0.0005,-0.0,2026-07-01T19:17:18.620687Z,2026-07-01T19:17:32.263970Z,False,-5087.222040608401
TSLA260702C00290000,TSLA,290.0,2026-07-02,call,137.98,2.0,27081.0,427.55,1,3.5005,0.9865,0.000442,-1.3914,0.0077,0.0078,2026-07-01T16:11:34.338648Z,2026-07-01T16:11:58.845225Z,True,-153.40101937160003
TSLA260702P00290000,TSLA,290.0,2026-07-02,put,0.01,403.0,2609.0,426.42,1,2.3473,-0.0007,4.5e-05,-0.0623,0.0005,-0.0,2026-07-01T19:37:20.062794Z,2026-07-01T19:37:30.450065Z,False,-3146.9767944615005
