ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
TSLA260702C00300000,TSLA,300.0,2026-07-02,call,126.16,61,773386.0,425.95,1,2.8611,0.9922,0.000337,-0.7231,0.0048,0.0081,2026-07-01T19:07:17.279936Z,2026-07-01T19:07:20.778487Z
TSLA260702P00300000,TSLA,300.0,2026-07-02,put,0.01,244,387.0,426.58,1,2.1559,-0.0007,5.3e-05,-0.0617,0.0006,-0.0,2026-07-01T19:40:28.773167Z,2026-07-01T19:40:33.429315Z
TSLA260702C00305000,TSLA,305.0,2026-07-02,call,125.91,1,12591.0,430.77,1,2.6461,0.9948,0.000251,-0.4832,0.0034,0.0083,2026-07-01T15:42:55.070732Z,2026-07-01T15:43:20.951007Z
TSLA260702P00305000,TSLA,305.0,2026-07-02,put,0.01,415,801.0,426.42,1,2.0593,-0.0008,5.8e-05,-0.0614,0.0006,-0.0,2026-07-01T19:37:18.136545Z,2026-07-01T19:37:30.450065Z
TSLA260702C00310000,TSLA,310.0,2026-07-02,call,111.7,1,11170.0,421.7,2,1.3517,0.9798,0.001008,-0.4316,0.0175,0.0248,2026-06-30T19:51:47.400319Z,2026-06-30T19:52:16.394567Z
TSLA260702P00310000,TSLA,310.0,2026-07-02,put,0.01,692,3389.0,426.25,1,1.9638,-0.0008,6.4e-05,-0.061,0.0006,-0.0,2026-07-01T19:54:29.625122Z,2026-07-01T19:54:52.955531Z
TSLA260702C00315000,TSLA,315.0,2026-07-02,call,87.94,3,24397.0,402.66,3,1.2044,0.9895,0.000635,-0.2427,0.0102,0.0255,2026-06-29T16:49:16.627743Z,2026-06-29T16:49:20.339717Z
TSLA260702P00315000,TSLA,315.0,2026-07-02,put,0.02,119,302.0,426.7,1,1.9935,-0.0015,0.000111,-0.1104,0.0011,-0.0,2026-07-01T19:50:49.636016Z,2026-07-01T19:51:17.298699Z
TSLA260702C00320000,TSLA,320.0,2026-07-02,call,108.04,1,10804.0,428.15,1,2.2988,0.9562,0.001292,-1.7003,0.0289,0.0164,2026-07-01T16:10:18.471853Z,2026-07-01T16:10:26.050497Z
TSLA260702P00320000,TSLA,320.0,2026-07-02,put,0.02,72,193.0,425.28,1,1.8782,-0.0016,0.000125,-0.1095,0.0012,-0.0,2026-07-01T19:59:29.541581Z,2026-07-01T19:59:32.426594Z
TSLA260702C00322500,TSLA,322.5,2026-07-02,call,94.72,6,56814.0,416.63,2,1.8024,0.9766,0.000995,-0.8069,0.0171,0.0171,2026-06-30T16:07:15.567013Z,2026-06-30T16:07:38.817644Z
TSLA260702P00322500,TSLA,322.5,2026-07-02,put,0.03,271,2738.0,426.21,1,1.9156,-0.0023,0.000169,-0.1543,0.0016,-0.0,2026-07-01T19:14:52.255828Z,2026-07-01T19:14:59.891718Z
TSLA260702C00325000,TSLA,325.0,2026-07-02,call,101.07,4,41267.0,425.93,1,2.1202,0.9937,0.000377,-0.4606,0.004,0.0088,2026-07-01T16:54:08.751292Z,2026-07-01T16:54:24.394508Z
TSLA260702P00325000,TSLA,325.0,2026-07-02,put,0.04,484,1180.0,426.71,1,1.9286,-0.003,0.000212,-0.1962,0.002,-0.0,2026-07-01T19:52:19.127007Z,2026-07-01T19:52:19.309082Z
TSLA260702C00327500,TSLA,327.5,2026-07-02,call,49.75,56,260810.0,376.64,6,0.6023,0.9685,0.002439,-0.2108,0.0343,0.0518,2026-06-26T14:21:47.567751Z,2026-06-26T14:22:08.848053Z
TSLA260702P00327500,TSLA,327.5,2026-07-02,put,0.13,170,1864.0,426.25,1,2.1389,-0.008,0.000457,-0.5199,0.0049,-0.0001,2026-07-01T19:54:36.868036Z,2026-07-01T19:54:52.955531Z
TSLA260702C00330000,TSLA,330.0,2026-07-02,call,95.14,31,295027.0,425.27,1,2.2019,0.9881,0.000633,-0.8006,0.0069,0.0089,2026-07-01T18:00:17.246983Z,2026-07-01T18:00:20.539198Z
TSLA260702P00330000,TSLA,330.0,2026-07-02,put,0.02,757,1872.0,426.7,1,1.7102,-0.0018,0.000148,-0.1081,0.0013,-0.0,2026-07-01T19:50:44.313844Z,2026-07-01T19:50:46.616788Z
TSLA260702C00332500,TSLA,332.5,2026-07-02,call,45.03,237,1018874.0,376.44,6,0.6461,0.9393,0.003857,-0.3506,0.058,0.0507,2026-06-26T14:23:05.165939Z,2026-06-26T14:23:10.617979Z
TSLA260702P00332500,TSLA,332.5,2026-07-02,put,0.02,1658,3329.0,426.59,1,1.6625,-0.0018,0.000156,-0.1077,0.0013,-0.0,2026-07-01T19:41:45.072697Z,2026-07-01T19:42:05.209591Z
TSLA260702C00335000,TSLA,335.0,2026-07-02,call,91.95,1,9195.0,428.1,1,1.334,0.9606,0.001713,-0.7452,0.0318,0.0261,2026-07-01T15:56:45.127586Z,2026-07-01T15:57:07.278791Z
TSLA260702P00335000,TSLA,335.0,2026-07-02,put,0.03,87,458.0,426.97,1,1.6862,-0.0026,0.000214,-0.1515,0.0018,-0.0,2026-07-01T17:13:10.199282Z,2026-07-01T17:13:18.721339Z
TSLA260702C00337500,TSLA,337.5,2026-07-02,call,40.64,110,438070.0,376.91,6,0.6109,0.9277,0.004664,-0.3769,0.0665,0.0508,2026-06-26T14:24:15.684147Z,2026-06-26T14:24:45.226279Z
TSLA260702P00337500,TSLA,337.5,2026-07-02,put,0.07,101,835.0,426.31,1,1.7832,-0.0054,0.000388,-0.3065,0.0034,-0.0001,2026-07-01T19:44:09.404998Z,2026-07-01T19:44:38.715484Z
TSLA260702C00340000,TSLA,340.0,2026-07-02,call,86.74,27,241063.0,426.71,1,1.6693,0.9959,0.000321,-0.2652,0.0027,0.0093,2026-07-01T19:51:45.721197Z,2026-07-01T19:51:49.007861Z
TSLA260702P00340000,TSLA,340.0,2026-07-02,put,0.02,269,927.0,426.12,1,1.5188,-0.002,0.000185,-0.1063,0.0014,-0.0,2026-07-01T19:56:57.712011Z,2026-07-01T19:57:27.385180Z
TSLA260702C00342500,TSLA,342.5,2026-07-02,call,86.0,3,25428.0,427.73,1,2.3933,0.9669,0.001376,-2.0159,0.0165,0.009,2026-07-01T15:05:40.914726Z,2026-07-01T15:05:47.946251Z
TSLA260702P00342500,TSLA,342.5,2026-07-02,put,0.04,165,1025.0,426.25,1,1.5808,-0.0036,0.000306,-0.1903,0.0024,-0.0,2026-07-01T19:54:33.360160Z,2026-07-01T19:54:52.955531Z
TSLA260702C00345000,TSLA,345.0,2026-07-02,call,80.5,19,157828.0,425.3,1,1.7882,0.9888,0.000739,-0.6271,0.0065,0.0093,2026-07-01T17:58:59.927227Z,2026-07-01T17:59:19.480009Z
TSLA260702P00345000,TSLA,345.0,2026-07-02,put,0.04,121,596.0,426.7,1,1.5399,-0.0037,0.000321,-0.1895,0.0025,-0.0,2026-07-01T19:50:33.393689Z,2026-07-01T19:50:46.616788Z
TSLA260702C00347500,TSLA,347.5,2026-07-02,call,77.82,10,77885.0,425.25,1,1.4131,0.9972,0.000275,-0.1786,0.0019,0.0095,2026-07-01T18:53:14.411010Z,2026-07-01T18:53:28.366696Z
TSLA260702P00347500,TSLA,347.5,2026-07-02,put,0.09,32,220.0,424.29,1,1.5971,-0.0075,0.000585,-0.3676,0.0046,-0.0001,2026-07-01T18:45:21.693480Z,2026-07-01T18:45:47.025208Z
TSLA260702C00350000,TSLA,350.0,2026-07-02,call,76.29,141,1060910.0,426.25,1,1.8703,0.9817,0.001072,-0.9801,0.01,0.0094,2026-07-01T19:54:34.978568Z,2026-07-01T19:54:52.955531Z
TSLA260702P00350000,TSLA,350.0,2026-07-02,put,0.04,2060,7366.0,425.25,1,1.4233,-0.004,0.000373,-0.187,0.0026,-0.0,2026-07-01T19:58:24.850565Z,2026-07-01T19:58:28.909649Z
TSLA260702C00352500,TSLA,352.5,2026-07-02,call,72.8,77,559260.0,424.96,1,1.7772,0.9802,0.001215,-0.992,0.0107,0.0094,2026-07-01T18:50:55.182690Z,2026-07-01T18:51:25.446879Z
TSLA260702P00352500,TSLA,352.5,2026-07-02,put,0.05,119,900.0,426.01,1,1.4221,-0.0049,0.000447,-0.2245,0.0032,-0.0001,2026-07-01T19:55:39.102459Z,2026-07-01T19:55:53.942801Z
TSLA260702C00355000,TSLA,355.0,2026-07-02,call,72.23,25,182146.0,426.91,1,1.7364,0.9811,0.001191,-0.9393,0.0103,0.0095,2026-07-01T17:21:40.960815Z,2026-07-01T17:21:55.993273Z
TSLA260702P00355000,TSLA,355.0,2026-07-02,put,0.06,118,677.0,426.2,1,1.4061,-0.0058,0.000529,-0.2597,0.0037,-0.0001,2026-07-01T19:18:26.194229Z,2026-07-01T19:18:35.725599Z
TSLA260702C00357500,TSLA,357.5,2026-07-02,call,68.14,73,497355.0,426.86,1,1.6472,0.9801,0.001316,-0.9275,0.0107,0.0096,2026-07-01T19:53:34.161377Z,2026-07-01T19:53:52.397522Z
TSLA260702P00357500,TSLA,357.5,2026-07-02,put,0.03,119,814.0,430.77,1,1.3259,-0.0032,0.000328,-0.1463,0.0022,-0.0,2026-07-01T15:42:53.434384Z,2026-07-01T15:43:20.951007Z
TSLA260702C00360000,TSLA,360.0,2026-07-02,call,65.82,54,365116.0,425.28,1,1.7566,0.9685,0.00181,-1.4264,0.0158,0.0095,2026-07-01T19:59:38.027621Z,2026-07-01T20:00:03.163208Z
