timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2024-08-01 09:30:00,0.0,1000000.0,0.0,1000000.0,0.0
2024-08-01 10:30:00,0.0,1000000.0,0.0,987203.2881712244,0.01279671182877562
2024-08-01 11:30:00,0.0,1000000.0,0.0,981100.7282676989,0.006181664887715628
2024-08-01 12:30:00,0.0,1000000.0,0.0,972647.5286821678,0.008616036398685219
2024-08-01 13:30:00,0.0,1000000.0,0.0,965689.3001462695,0.007153905531766296
2024-08-01 14:30:00,0.0,1000000.0,0.0,967878.2566734619,-0.0022667296063658094
2024-08-01 15:30:00,0.0,1000000.0,0.0,973838.0520646645,-0.0061575878475524665
2024-08-02 09:30:00,0.0,1000000.0,0.0,936641.990018145,0.03819532618145191
2024-08-02 10:30:00,0.0,1000000.0,0.0,938341.4609336613,-0.001814429561804511
2024-08-02 11:30:00,0.0,1000000.0,0.0,944943.3555633645,-0.007035705981844032
2024-08-02 12:30:00,0.0,1000000.0,0.0,938351.5752301668,0.006975847064682316
2024-08-02 13:30:00,0.0,1000000.0,0.0,940663.7413397266,-0.0024640722844128616
2024-08-02 14:30:00,0.0,1000000.0,0.0,940104.2522859141,0.0005947811414689791
2024-08-02 15:30:00,0.0,1000000.0,0.0,941077.6574005105,-0.0010354225206721417
2024-08-05 09:30:00,0.0,1000000.0,0.0,893120.0599255692,0.05096029758841807
2024-08-05 10:30:00,0.0,1000000.0,0.0,908158.6244046808,-0.01683823391041597
2024-08-05 11:30:00,0.0,1000000.0,0.0,918040.1151975413,-0.010880798273911956
2024-08-05 12:30:00,0.0,1000000.0,0.0,908693.1152763604,0.01018147221068841
2024-08-05 13:30:00,0.0,1000000.0,0.0,905516.2881304655,0.0034960396337202835
2024-08-05 14:30:00,0.0,1000000.0,0.0,902375.0730373048,0.0034689769077993057
2024-08-05 15:30:00,0.0,1000000.0,0.0,902964.1631666713,-0.0006528218109832506
2024-08-06 09:30:00,0.0,1000000.0,0.0,910120.1439233784,-0.00792498866357143
2024-08-06 10:30:00,0.0,1000000.0,0.0,911796.4678912008,-0.0018418710749505364
2024-08-06 11:30:00,0.0,1000000.0,0.0,922853.6150003076,-0.0121267711583482
2024-08-06 12:30:00,0.0,1000000.0,0.0,929811.3145976838,-0.007539331790312187
2024-08-06 13:30:00,0.0,1000000.0,0.0,933192.469726737,-0.003636388454270586
2024-08-06 14:30:00,0.0,1000000.0,0.0,927063.060276519,0.006568215720828407
2024-08-06 15:30:00,0.0,1000000.0,0.0,919844.5946288008,0.007786380406059202
2024-08-07 09:30:00,0.0,1000000.0,0.0,926883.1544319425,-0.00765190103224138
2024-08-07 10:30:00,0.0,1000000.0,0.0,927177.4329818857,-0.00031749260792594076
2024-08-07 11:30:00,0.0,1000000.0,0.0,924315.4747215721,0.003086742794320649
2024-08-07 12:30:00,0.0,1000000.0,0.0,913984.4456514893,0.011176951325189886
2024-08-07 13:30:00,0.0,1000000.0,0.0,907898.6623386024,0.006658519564355361
2024-08-07 14:30:00,0.0,1000000.0,0.0,908450.8005567446,-0.0006081496107946436
2024-08-07 15:30:00,0.0,1000000.0,0.0,901930.7080733025,0.007177155305984865
2024-08-08 09:30:00,0.0,1000000.0,0.0,925868.7105557956,-0.02654084428905751
2024-08-08 10:30:00,0.0,1000000.0,0.0,925785.8264591014,8.952035612534822e-05
2024-08-08 11:30:00,0.0,1000000.0,0.0,926221.302106094,-0.000470384871475284
2024-08-08 12:30:00,0.0,1000000.0,0.0,930905.896776176,-0.005057748790089373
2024-08-08 13:30:00,0.0,1000000.0,0.0,932896.363412202,-0.0021382039182681503
2024-08-08 14:30:00,0.0,1000000.0,0.0,928838.4201065775,0.0043498329126098875
2024-08-08 15:30:00,0.0,1000000.0,0.0,932763.4417250478,-0.0042257313365869735
2024-08-09 09:30:00,0.0,1000000.0,0.0,929582.6313787685,0.0034100932819544584
2024-08-09 10:30:00,0.0,1000000.0,0.0,930062.4135348883,-0.0005161264205293905
2024-08-09 11:30:00,0.0,1000000.0,0.0,926331.6340139081,0.0040113216776502475
2024-08-09 12:30:00,0.0,1000000.0,0.0,935891.7256586615,-0.010320376951101636
2024-08-09 13:30:00,0.0,1000000.0,0.0,934525.9217073427,0.001459361071236556
2024-08-09 14:30:00,0.0,1000000.0,0.0,933532.3106470633,0.0010632247187581166
2024-08-09 15:30:00,0.0,1000000.0,0.0,933785.8834277688,-0.0002716272139844976
2024-08-12 09:30:00,0.0,1000000.0,0.0,938296.6826083431,-0.004830656856811764
2024-08-12 10:30:00,0.0,1000000.0,0.0,937602.7500915845,0.0007395662050401806
2024-08-12 11:30:00,0.0,1000000.0,0.0,940071.9663657096,-0.0026335420559333747
2024-08-12 12:30:00,0.0,1000000.0,0.0,938077.0893296576,0.002122047148968934
2024-08-12 13:30:00,0.0,1000000.0,0.0,936627.4678379706,0.001545311689386772
2024-08-12 14:30:00,0.0,1000000.0,0.0,934454.2832321327,0.0023202230133761736
2024-08-12 15:30:00,0.0,1000000.0,0.0,933926.2444804544,0.0005650771376978225
2024-08-13 09:30:00,0.0,1000000.0,0.0,949594.5012535709,-0.01677676033382353
2024-08-13 10:30:00,0.0,1000000.0,0.0,952192.6486889855,-0.0027360598992356177
2024-08-13 11:30:00,0.0,1000000.0,0.0,954159.0518625951,-0.0020651316477995597
2024-08-13 12:30:00,0.0,1000000.0,0.0,958684.2835377421,-0.004742638731261299
2024-08-13 13:30:00,0.0,1000000.0,0.0,957954.7894021714,0.0007609326115985116
2024-08-13 14:30:00,0.0,1000000.0,0.0,957257.0721615939,0.0007283404689826842
2024-08-13 15:30:00,0.0,1000000.0,0.0,959746.5324062028,-0.002600618284268642
2024-08-14 09:30:00,0.0,1000000.0,0.0,953475.1375991413,0.006534428200889939
2024-08-14 10:30:00,0.0,1000000.0,0.0,956080.3036307212,-0.0027322852257476013
2024-08-14 11:30:00,0.0,1000000.0,0.0,954040.7930037366,0.0021332001289426318
2024-08-14 12:30:00,0.0,1000000.0,0.0,956664.9458436086,-0.002750566704396363
2024-08-14 13:30:00,0.0,1000000.0,0.0,957989.8690822755,-0.0013849396744630789
2024-08-14 14:30:00,0.0,1000000.0,0.0,955515.120463507,0.002583272223055245
2024-08-14 15:30:00,0.0,1000000.0,0.0,958037.3666472088,-0.002639671659490135
2024-08-15 09:30:00,0.0,1000000.0,0.0,982211.8314686357,-0.025233321437167826
2024-08-15 10:30:00,0.0,1000000.0,0.0,984438.336017045,-0.0022668272536283587
2024-08-15 11:30:00,0.0,1000000.0,0.0,989962.2736431953,-0.005611258139844311
2024-08-15 12:30:00,0.0,1000000.0,0.0,987948.2728903528,0.002034421721376006
2024-08-15 13:30:00,0.0,1000000.0,0.0,988155.3503693994,-0.00020960356400112623
2024-08-15 14:30:00,0.0,1000000.0,0.0,986914.1057664593,0.0012561229390461236
2024-08-15 15:30:00,0.0,1000000.0,0.0,986328.6843398547,0.0005931837666357691
2024-08-16 09:30:00,0.0,1000000.0,0.0,989697.6421335321,-0.0034156542815461785
2024-08-16 10:30:00,0.0,1000000.0,0.0,981930.5057828563,0.007847989143362915
2024-08-16 11:30:00,0.0,1000000.0,0.0,986542.2041252113,-0.004696562857753798
2024-08-16 12:30:00,0.0,1000000.0,0.0,986565.9603802327,-2.408032309428534e-05
2024-08-16 13:30:00,0.0,1000000.0,0.0,986366.3077981689,0.0002023712453924033
2024-08-16 14:30:00,0.0,1000000.0,0.0,987087.2658492855,-0.0007309232335054658
2024-08-16 15:30:00,0.0,1000000.0,0.0,986556.0863333937,0.0005381282225689172
2024-08-19 09:30:00,0.0,1000000.0,0.0,985503.1930098033,0.0010672412224464168
2024-08-19 10:30:00,0.0,1000000.0,0.0,989395.8430513421,-0.0039499111409779285
2024-08-19 11:30:00,0.0,1000000.0,0.0,988572.0367925104,0.0008326356580305322
2024-08-19 12:30:00,0.0,1000000.0,0.0,990439.2347239055,-0.0018887828725698147
2024-08-19 13:30:00,0.0,1000000.0,0.0,993575.4498514383,-0.0031664891874029124
2024-08-19 14:30:00,0.0,1000000.0,0.0,995374.5074933176,-0.0018106905138893193
2024-08-19 15:30:00,0.0,1000000.0,0.0,1000010.107922507,-0.004657142004634509
2024-08-20 09:30:00,0.0,1000000.0,0.0,996749.571589488,0.0032605033761036015
2024-08-20 10:30:00,0.0,1000000.0,0.0,995132.4021057673,0.0016224431189289213
2024-08-20 11:30:00,0.00038740051949992527,1000387.4005194999,0.0,995598.208286231,-8.068410871434702e-05
2024-08-20 12:30:00,-0.0004534277610392934,999933.7971003104,-0.0004534277610392755,994726.0164104705,0.00042262029579873345
2024-08-20 13:30:00,0.001377233344199258,1001310.9392676688,0.0,998042.094402267,-0.001956426313927425
2024-08-20 14:30:00,-0.0008161405879125727,1000493.7287690116,-0.0008161405879125611,997090.6204796592,0.00013719988534444973
2024-08-20 15:30:00,-6.71395179143719e-05,1000426.5561023856,-0.0008832253105413411,996079.1462771513,0.0009472860335176375
2024-08-21 09:30:00,0.0017228624273470938,1002150.1534272147,0.0,1002542.2693810359,-0.004765701386121501
2024-08-21 10:30:00,-0.00017817455544999472,1001971.5957691337,-0.00017817455545001602,1000442.770363306,0.0019160005051448012
2024-08-21 11:30:00,-0.0006369187538017851,1001333.4212690116,-0.0008149798265360064,998520.4675496919,0.0012845332977894364
2024-08-21 12:30:00,0.0006597084977719714,1001994.0094361259,-0.0001558089778810621,1000046.8370743318,-0.0008689226863094479
2024-08-21 13:30:00,0.0013772659288249223,1003374.0216462088,0.0,1006371.0680319917,-0.004946668834232235
2024-08-21 14:30:00,-0.0012861546970273086,1002083.5274353934,-0.0012861546970272632,1005289.7054967622,-0.00021163798089769595
2024-08-21 15:30:00,0.0006703982075522141,1002755.3224360037,-0.0006166187252785678,1008843.8315056729,-0.002865026446134571
2024-08-22 09:30:00,0.0004577406099133263,1003214.3242688895,-0.0001591603667965412,1006030.0911623636,0.0032468148505814
2024-08-22 10:30:00,-0.0021668191670543013,1001040.5402424003,-0.0023256346621174174,1000829.5069135864,0.0030025930547695843
2024-08-22 11:30:00,0.0005721831470206773,1001613.3187690115,-0.0017547822040564298,999789.9207525039,0.0016109076789226223
2024-08-22 12:30:00,-0.002459007834676008,999150.3437708426,-0.004209475015544556,993460.77590442,0.003871466914779678
2024-08-22 13:30:00,-0.0004820300627751406,998668.723267913,-0.004689475984813709,989887.2819209188,0.0031149856123005625
2024-08-22 14:30:00,-0.0014236597834351716,997246.9587696219,-0.006106459549883912,985809.2904085316,0.0026959926122130254
2024-08-22 15:30:00,-0.00025588950564636725,996991.773738335,-0.006360786476614815,984950.2580036517,0.000615508657505302
2024-08-23 09:30:00,0.0,996991.773738335,-0.006360786476614815,1007342.6364971112,-0.022734527263179056
2024-08-23 10:30:00,0.0,996991.773738335,-0.006360786476614815,1003232.6970027046,0.004079981672073676
2024-08-23 11:30:00,0.0,996991.773738335,-0.006360786476614815,997427.6753835394,0.005786316212089693
2024-08-23 12:30:00,0.0,996991.773738335,-0.006360786476614815,998887.9271247757,-0.0014640176699276019
2024-08-23 13:30:00,0.0,996991.773738335,-0.006360786476614815,1001980.3889250892,-0.0030959046719234782
2024-08-23 14:30:00,0.0,996991.773738335,-0.006360786476614815,1003275.0949625535,-0.001292147083690153
2024-08-23 15:30:00,0.0,996991.773738335,-0.006360786476614815,1003576.3250764902,-0.00030024677722901167
2024-08-26 09:30:00,0.0,996991.773738335,-0.006360786476614815,997302.2632505565,0.006251703701216296
2024-08-26 10:30:00,0.0,996991.773738335,-0.006360786476614815,998991.5000204818,-0.0016938062131929277
2024-08-26 11:30:00,0.0,996991.773738335,-0.006360786476614815,1001323.8957216708,-0.0023347502968155474
2024-08-26 12:30:00,0.0,996991.773738335,-0.006360786476614815,1001558.3507863948,-0.00023414508105305072
2024-08-26 13:30:00,0.0,996991.773738335,-0.006360786476614815,999828.349557771,0.0017273094745458273
2024-08-26 14:30:00,0.0,996991.773738335,-0.006360786476614815,1000388.881992137,-0.000560628666524561
2024-08-26 15:30:00,0.0,996991.773738335,-0.006360786476614815,1001519.882710163,-0.0011305610631874468
