trade_date,open,high,low,close,volume
2023-01-03,3.569999933242798,3.7149999141693115,3.4100000858306885,3.4600000381469727,2736600
2023-01-04,3.509999990463257,3.700000047683716,3.450000047683716,3.609999895095825,2001400
2023-01-05,3.549999952316284,3.690000057220459,3.5199999809265137,3.640000104904175,1883500
2023-01-06,3.680000066757202,3.7799999713897705,3.5899999141693115,3.7699999809265137,1728800
2023-01-09,3.890000104904175,4.010000228881836,3.7850000858306885,3.809999942779541,3357800
2023-01-10,3.8299999237060547,3.8589999675750732,3.680000066757202,3.809999942779541,2284500
2023-01-11,3.9100000858306885,3.990000009536743,3.7799999713897705,3.859999895095825,2697800
2023-01-12,3.9000000953674316,4.050000190734863,3.700000047683716,4.050000190734863,2986600
2023-01-13,3.9700000286102295,4.420000076293945,3.944999933242798,4.409999847412109,4058400
2023-01-17,4.400000095367432,4.429999828338623,4.195000171661377,4.349999904632568,3102200
2023-01-18,4.400000095367432,4.550000190734863,4.199999809265137,4.199999809265137,2382900
2023-01-19,4.090000152587891,4.150000095367432,4.010000228881836,4.019999980926514,1799600
2023-01-20,4.239999771118164,4.440000057220459,4.139999866485596,4.340000152587891,3701100
2023-01-23,4.510000228881836,4.619999885559082,4.364999771118164,4.5,3860000
2023-01-24,4.460000038146973,4.730000019073486,4.369999885559082,4.440000057220459,1794800
2023-01-25,4.309999942779541,4.539999961853027,4.26200008392334,4.5,1582700
2023-01-26,4.630000114440918,4.679999828338623,4.304999828338623,4.539999961853027,3110200
2023-01-27,4.480000019073486,4.565000057220459,4.429999828338623,4.489999771118164,4102600
2023-01-30,4.46999979019165,4.590000152587891,4.400000095367432,4.460000038146973,2272700
2023-01-31,4.5,4.574999809265137,4.421999931335449,4.440000057220459,2490900
2023-02-01,4.449999809265137,4.789999961853027,4.400000095367432,4.760000228881836,4175100
2023-02-02,4.929999828338623,5.570000171661377,4.9039998054504395,5.489999771118164,7545200
2023-02-03,5.260000228881836,5.71999979019165,5.21999979019165,5.5,4767500
2023-02-06,5.800000190734863,6.0,5.340000152587891,5.409999847412109,9931600
2023-02-07,5.440000057220459,5.440000057220459,4.949999809265137,5.150000095367432,5826600
2023-02-08,5.150000095367432,5.480000019073486,5.099999904632568,5.130000114440918,3321200
2023-02-09,5.210000038146973,5.21999979019165,4.664999961853027,4.690000057220459,4728600
2023-02-10,4.71999979019165,4.940000057220459,4.679999828338623,4.809999942779541,2746900
2023-02-13,4.869999885559082,4.909999847412109,4.679999828338623,4.889999866485596,2522000
2023-02-14,4.760000228881836,5.070000171661377,4.670000076293945,4.989999771118164,3956000
2023-02-15,5.0,5.650000095367432,5.0,5.650000095367432,5529600
2023-02-16,5.480000019073486,5.590000152587891,5.260000228881836,5.28000020980835,3491500
2023-02-17,5.170000076293945,5.199999809265137,4.800000190734863,4.880000114440918,3684500
2023-02-21,4.869999885559082,4.920000076293945,4.614999771118164,4.639999866485596,2904900
2023-02-22,4.679999828338623,4.78000020980835,4.550000190734863,4.760000228881836,2515200
2023-02-23,4.869999885559082,4.900000095367432,4.610000133514404,4.78000020980835,2380900
2023-02-24,4.599999904632568,4.699999809265137,4.510000228881836,4.570000171661377,2326900
2023-02-27,4.599999904632568,4.670000076293945,4.579999923706055,4.630000114440918,1413200
2023-02-28,4.650000095367432,4.820000171661377,4.59499979019165,4.739999771118164,1745300
2023-03-01,4.760000228881836,4.769999980926514,4.559999942779541,4.619999885559082,1927000
2023-03-02,4.539999961853027,4.769999980926514,4.460000038146973,4.760000228881836,2179000
2023-03-03,4.800000190734863,5.050000190734863,4.784999847412109,5.03000020980835,2405800
2023-03-06,5.070000171661377,5.210000038146973,4.900000095367432,4.929999828338623,2333700
2023-03-07,4.960000038146973,5.130000114440918,4.820000171661377,4.940000057220459,2225500
2023-03-08,4.96999979019165,5.150000095367432,4.863999843597412,5.059999942779541,2135800
2023-03-09,5.050000190734863,5.190000057220459,4.769999980926514,4.829999923706055,3300100
2023-03-10,4.829999923706055,4.840000152587891,4.489999771118164,4.559999942779541,3782800
2023-03-13,4.46999979019165,4.789999961853027,4.380000114440918,4.710000038146973,3784400
2023-03-14,4.769999980926514,4.929999828338623,4.730000019073486,4.789999961853027,2361400
2023-03-15,4.639999866485596,4.800000190734863,4.630000114440918,4.769999980926514,2366100
2023-03-16,4.769999980926514,4.880000114440918,4.679999828338623,4.800000190734863,1816700
2023-03-17,4.820000171661377,4.889999866485596,4.635000228881836,4.730000019073486,2666100
2023-03-20,4.71999979019165,4.758999824523926,4.610000133514404,4.610000133514404,2310000
2023-03-21,4.650000095367432,4.940000057220459,4.630000114440918,4.869999885559082,5128100
2023-03-22,4.880000114440918,4.980000019073486,4.650000095367432,4.650000095367432,2518200
2023-03-23,4.71999979019165,5.079999923706055,4.710000038146973,4.840000152587891,3364700
2023-03-24,4.840000152587891,4.954999923706055,4.744999885559082,4.880000114440918,2341100
2023-03-27,4.940000057220459,5.235000133514404,4.840000152587891,5.119999885559082,3741600
2023-03-28,5.119999885559082,5.130000114440918,4.650000095367432,4.699999809265137,4003700
2023-03-29,4.820000171661377,5.139999866485596,4.800000190734863,5.130000114440918,3382800
2023-03-30,5.199999809265137,5.349999904632568,5.039999961853027,5.079999923706055,4318500
2023-03-31,5.349999904632568,6.769999980926514,5.25,6.150000095367432,33616000
2023-04-03,6.269999980926514,6.539999961853027,5.909999847412109,6.150000095367432,10188100
2023-04-04,6.309999942779541,7.179999828338623,6.300000190734863,7.070000171661377,18441900
2023-04-05,7.210000038146973,7.210000038146973,6.409999847412109,6.659999847412109,12436300
2023-04-06,6.300000190734863,6.960000038146973,6.210000038146973,6.809999942779541,6841100
2023-04-10,6.840000152587891,7.0,6.639999866485596,6.849999904632568,5715400
2023-04-11,6.920000076293945,7.349999904632568,6.679999828338623,6.78000020980835,7215000
2023-04-12,7.039999961853027,7.059999942779541,6.510000228881836,6.590000152587891,4389000
2023-04-13,6.670000076293945,6.940000057220459,6.610000133514404,6.820000171661377,3771700
2023-04-14,6.710000038146973,6.954999923706055,6.53000020980835,6.710000038146973,3389300
2023-04-17,6.679999828338623,6.869999885559082,6.420000076293945,6.550000190734863,3321700
2023-04-18,6.590000152587891,6.610000133514404,6.269999980926514,6.400000095367432,3666500
2023-04-19,6.210000038146973,6.364999771118164,6.159999847412109,6.28000020980835,2708400
2023-04-20,6.070000171661377,6.239999771118164,6.0,6.099999904632568,3137100
2023-04-21,6.099999904632568,6.269999980926514,6.0,6.25,2363000
2023-04-24,6.28000020980835,6.340000152587891,5.820000171661377,5.840000152587891,4702000
2023-04-25,5.710000038146973,5.739999771118164,5.440000057220459,5.510000228881836,3922400
2023-04-26,5.519999980926514,5.599999904632568,5.369999885559082,5.400000095367432,3079300
2023-04-27,5.5,5.658999919891357,5.449999809265137,5.550000190734863,2497900
2023-04-28,5.599999904632568,5.599999904632568,5.409999847412109,5.510000228881836,2645100
2023-05-01,5.53000020980835,5.659999847412109,5.449999809265137,5.489999771118164,3298400
2023-05-02,5.449999809265137,5.585000038146973,5.300000190734863,5.309999942779541,2767400
2023-05-03,5.340000152587891,5.53000020980835,5.289999961853027,5.409999847412109,2418500
2023-05-04,5.449999809265137,5.599999904632568,5.380000114440918,5.570000171661377,2591500
2023-05-05,5.739999771118164,5.960000038146973,5.699999809265137,5.900000095367432,4138300
2023-05-08,6.130000114440918,6.239999771118164,6.0,6.150000095367432,4032600
2023-05-09,6.119999885559082,6.460000038146973,6.070000171661377,6.380000114440918,3731900
2023-05-10,6.539999961853027,6.96999979019165,6.429999828338623,6.949999809265137,5292600
2023-05-11,6.840000152587891,7.119999885559082,6.650000095367432,7.019999980926514,9256500
2023-05-12,6.389999866485596,6.659999847412109,6.0,6.349999904632568,9156500
2023-05-15,6.340000152587891,7.460000038146973,6.330999851226807,7.340000152587891,7741700
2023-05-16,7.039999961853027,8.0600004196167,7.019999980926514,7.989999771118164,12604300
2023-05-17,7.989999771118164,9.149999618530273,7.909999847412109,8.960000038146973,13777000
2023-05-18,8.979999542236328,9.449999809265137,8.529999732971191,9.09000015258789,14432000
2023-05-19,9.140000343322754,9.319999694824219,8.765000343322754,8.880000114440918,7209900
2023-05-22,9.010000228881836,11.319999694824219,8.890000343322754,10.859999656677246,26211100
2023-05-23,10.930000305175781,11.649999618530273,10.65999984741211,10.829999923706055,17921000
2023-05-24,9.680000305175781,10.359999656677246,9.149999618530273,10.239999771118164,15813900
2023-05-25,10.510000228881836,10.630000114440918,9.229999542236328,9.350000381469727,16432900
2023-05-26,9.479999542236328,10.220000267028809,9.449999809265137,10.0,10870900
2023-05-30,10.199999809265137,11.100000381469727,9.859999656677246,10.989999771118164,15712400
2023-05-31,10.529999732971191,11.069999694824219,10.3100004196167,10.789999961853027,11492000
2023-06-01,10.569999694824219,11.34000015258789,10.399999618530273,10.720000267028809,13483100
